series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CU_USD	2069399.8	6029330	16876126.5	3265912.6	1305405.9	15965509.5	3536834.5	12648420.7	3020102.4	7295254.6	2014	3020102.4		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CU_USD	2956560.8	1191852.4	1822981.4	181026.5	12528368.5	10956912.8	1131896.6	852	3106050	5544815.98	2014	3106050		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CU_USD	206951.2	23290	57770	6390944.6		100416.6	59943.7		1600	53986.7666666667	2014	1600		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CU_USD	195924.6	136166.2	2527381.5	451350	203453.7	2957244.6	3398644	4447689.9		2751758.05	2013	4447689.9		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CU_USD	140534.9	192737.4	4536892	1134036.6	42875.1	98308.8	130221.4	250000	32316.8	110744.42	2014	32316.8		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CU_USD	348900.6	164324	68671.9	82286.8	62889.8	118471.5	71737.4	414209.5		166827.05	2013	414209.5		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CU_USD	1245957.6	4858818.9	11257078.7	545344	14448741.8	1297702.3	828536.7	52273609.3	357903	13841298.62	2014	357903		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CU_USD	56731.6	189328	6060	39150	1910871.7	327134.8	38699.1	703952.5	3696148	1335361.22	2014	3696148		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CU_USD			6072118.9								2008	6072118.9		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	CU_USD	528875.6	102730.5	28227.5	4880	316311	1852059.2	98268.4	44792.3	176752.2	497636.62	2014	176752.2		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	CU_USD	253901.4	1252433.4	2280739.9	5910.2	6433634.7	50917980.4	78032.4	26128080.8	24310000	21573545.66	2014	24310000	2016 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	CU_USD	443527.8	3195386.1	784521.5	6528228.2	747477.5	1274166.1	9400869.4	9962825.3	354433.2	4347954.3	2014	354433.2	2016 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	CU_USD	47564.9	100053.1	36235.2	83369.3	12015.6	887478	48058.3	105056	54684.3	221458.44	2014	54684.3	2016 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CU_USD	8593.6	62963	3605.9	43400	52595.8	146572	2591	191914.2	821139.8	242962.56	2014	821139.8		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CU_USD	168626.8	57742.1	33420	132280	2120	565258.3	164630.3	49302		195327.65	2013	49302		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CU_USD	66377.7	3634.1	304	195652.2	479497.2	1034376	2934073.1	861408.9	25543	1066979.64	2014	25543	2016 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CU_USD	1187054.1	886253.8	169663.4	78343.3	459101.3	393893.9	3026675.8	39921034.2	1314445.9	9023030.22	2014	1314445.9		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CU_USD	336500	113441.6	243861.9	1738137.4	214215.2	889748.4	771937	4030334.6	376337.8	1256514.6	2014	376337.8		G
