geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2012	ANNUAL	PER_100000_POP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	37.490875	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
8	2012	ANNUAL	PER_100000_POP	1	20.06660928	41.13897007	6	ALB	Albania	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	63.954166	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
10	2012	ANNUAL	PER_100000_POP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2012	ANNUAL	PER_100000_POP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	30.513906	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
16	2012	ANNUAL	PER_100000_POP	1	-170.7187269	-14.30587306	12	ASM	American Samoa							
20	2012	ANNUAL	PER_100000_POP	1	1.576257417	42.54548611	7	AND	Andorra	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	27.494871	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
24	2012	ANNUAL	PER_100000_POP	1	17.57817062	-12.33724746	3	AGO	Angola	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	31.112783	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
28	2012	ANNUAL	PER_100000_POP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	19.462803	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
31	2012	ANNUAL	PER_100000_POP	1	50.01064725	40.39229544	19	AZE	Azerbaijan	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	45.895763	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
32	2012	ANNUAL	PER_100000_POP	1	-65.14563274	-35.19446255	10	ARG	Argentina	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	23.175762	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
36	2012	ANNUAL	PER_100000_POP	1	134.3499412	-25.57717202	17	AUS	Australia	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	0.406837	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
40	2012	ANNUAL	PER_100000_POP	1	14.14172472	47.58704857	18	AUT	Austria	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	34.173519	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
44	2012	ANNUAL	PER_100000_POP	1	-78.05111663	24.69546597	27	BHS	Bahamas	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	15.368209	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
48	2012	ANNUAL	PER_100000_POP	1	50.5490754	26.04407747	26	BHR	Bahrain	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	11.109732	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
50	2012	ANNUAL	PER_100000_POP	1	89.17660788	22.86961622	24	BGD	Bangladesh	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	24.120399	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
51	2012	ANNUAL	PER_100000_POP	1	44.93839317	40.29499741	11	ARM	Armenia	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	92.340042	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
52	2012	ANNUAL	PER_100000_POP	1	-59.5346489	13.13648273	35	BRB	Barbados	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	15.490703	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
56	2012	ANNUAL	PER_100000_POP	1	4.660976456	50.64104975	21	BEL	Belgium	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	30.17057	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
60	2012	ANNUAL	PER_100000_POP	1	-64.78155012	32.27881922	32	BMU	Bermuda							
64	2012	ANNUAL	PER_100000_POP	1	90.45098484	27.39598568	37	BTN	Bhutan	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	25.835501	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
68	2012	ANNUAL	PER_100000_POP	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	24.618519	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
70	2012	ANNUAL	PER_100000_POP	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	92.411346	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
72	2012	ANNUAL	PER_100000_POP	1	23.81380223	-22.18810073	39	BWA	Botswana	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	12.810268	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
74	2012	ANNUAL	PER_100000_POP	1	3.410732868	-54.43295905	38	BVT	Bouvet Island							
76	2012	ANNUAL	PER_100000_POP	1	-53.08432878	-10.77668561	34	BRA	Brazil	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	12.964935	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
84	2012	ANNUAL	PER_100000_POP	1	-88.70199554	17.19965901	31	BLZ	Belize	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	10.666506	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
86	2012	ANNUAL	PER_100000_POP	1	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory							
90	2012	ANNUAL	PER_100000_POP	1	160.1584117	-9.622391719	204	SLB	Solomon Islands	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	0.000284	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
92	2012	ANNUAL	PER_100000_POP	1	-64.63294223	18.42256578	254	VGB	British Virgin Islands							
96	2012	ANNUAL	PER_100000_POP	1	114.6288563	4.49736984	36	BRN	Brunei Darussalam	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	0.173674	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
100	2012	ANNUAL	PER_100000_POP	1	25.23763153	42.75731323	25	BGR	Bulgaria	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	118.212166	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
104	2012	ANNUAL	PER_100000_POP	1	96.51752295	21.19332882	149	MMR	Myanmar	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	43.132904	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
108	2012	ANNUAL	PER_100000_POP	1	29.89080992	-3.366387428	20	BDI	Burundi	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	29.636332	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
112	2012	ANNUAL	PER_100000_POP	1	28.04940161	53.54193075	30	BLR	Belarus	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	99.57325	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
116	2012	ANNUAL	PER_100000_POP	1	104.922836	12.71163737	121	KHM	Cambodia	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	19.784365	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
120	2012	ANNUAL	PER_100000_POP	1	12.7419827	5.692387031	47	CMR	Cameroon	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	32.317963	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
124	2012	ANNUAL	PER_100000_POP	1	-101.6575058	57.72360191	41	CAN	Canada	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	5.410158	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
132	2012	ANNUAL	PER_100000_POP	1	-23.63544151	15.07791834	53	CPV	Cabo Verde	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	25.482389	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
136	2012	ANNUAL	PER_100000_POP	1	-81.16740559	19.32266656	58	CYM	Cayman Islands							
140	2012	ANNUAL	PER_100000_POP	1	20.93559492	7.003720791	40	CAF	Central African Republic	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	26.292391	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
144	2012	ANNUAL	PER_100000_POP	1	80.70489654	7.614693343	132	LKA	Sri Lanka	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	38.155113	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
148	2012	ANNUAL	PER_100000_POP	1	18.66618401	15.36279341	222	TCD	Chad	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	34.129547	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
152	2012	ANNUAL	PER_100000_POP	1	-71.23029019	-35.2652885	44	CHL	Chile	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	16.227184	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
156	2012	ANNUAL	PER_100000_POP	1	104.1403375	32.30955217	45	CHN	China	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	75.773827	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
162	2012	ANNUAL	PER_100000_POP	1	105.6426067	-10.4882473	57	CXR	Christmas Island							
166	2012	ANNUAL	PER_100000_POP	1	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands							
170	2012	ANNUAL	PER_100000_POP	1	-73.07446751	3.888209046	51	COL	Colombia	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	13.869732	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
174	2012	ANNUAL	PER_100000_POP	1	43.34234565	-11.66121732	52	COM	Comoros	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	17.004213	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
175	2012	ANNUAL	PER_100000_POP	1	45.14015057	-12.82217691	160	MYT	Mayotte							
178	2012	ANNUAL	PER_100000_POP	1	15.22052612	-0.840544119	49	COG	Congo	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	29.027468	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
180	2012	ANNUAL	PER_100000_POP	1	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	SH_AAP_MORT	Crude death rate attributed to ambient air pollution, total (deaths per 100,000 population)	32.769192	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
