geoAreaCode	years	Age	Freq	Location	Sex	Units	Bounds	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2000	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	3.708	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2005	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	4.544	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2010	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	5.29	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2015	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	6.315	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2000	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	3.54	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2005	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	4.353	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2010	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	4.968	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2015	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	5.915	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	7.248	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	8.897	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	10.258	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2015	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CANCER	Number of deaths attributed to cancer	12.23	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
8	2000	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	0.924	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2005	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	1.071	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2010	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	1.104	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2015	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	1.114	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2000	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	1.219	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2005	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	1.349	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2010	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	1.372	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2015	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	1.47	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	2.142	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	2.42	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	2.476	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2015	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CANCER	Number of deaths attributed to cancer	2.585	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
10	2000	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2005	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2010	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2000	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2005	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2010	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2000	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CANCER	Number of deaths attributed to cancer	5.08	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2005	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CANCER	Number of deaths attributed to cancer	5.988	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2010	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CANCER	Number of deaths attributed to cancer	6.755	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2015	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CANCER	Number of deaths attributed to cancer	8.027	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2000	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CANCER	Number of deaths attributed to cancer	4.708	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2005	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CANCER	Number of deaths attributed to cancer	5.418	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2010	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CANCER	Number of deaths attributed to cancer	6.028	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2015	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CANCER	Number of deaths attributed to cancer	7.411	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CANCER	Number of deaths attributed to cancer	9.788	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CANCER	Number of deaths attributed to cancer	11.406	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CANCER	Number of deaths attributed to cancer	12.783	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
