geoAreaCode	years	Age	Freq	Location	Sex	Units	Bounds	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	18.709	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	23.176	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	25.538	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2015	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	29.4	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2000	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	9.215	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2005	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	11.158	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2010	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	12.53	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2015	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	14.411	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2000	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	9.494	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2005	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	12.018	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2010	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	13.008	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2015	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	14.99	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
8	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	2.599	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	2.952	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	2.354	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2015	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	2.086	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2000	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	0.689	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2005	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	0.825	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2010	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	0.706	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2015	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	0.723	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2000	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	1.91	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2005	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	2.127	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2010	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	1.648	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
8	2015	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	20.06660928	41.13897007	6	ALB	Albania	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	1.363	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
10	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2000	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2005	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2010	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2000	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2005	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2010	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	19.087	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	19.964	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	20.007	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2015	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	22.342	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2000	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	8.353	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2005	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	8.769	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2010	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	8.19	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2015	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	8.614	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2000	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	10.734	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2005	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	11.195	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2010	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	11.817	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
12	2015	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	2.678164227	28.15940032	66	DZA	Algeria	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	13.728	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
16	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2015	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2000	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2005	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2010	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2015	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2000	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2005	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2010	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	-170.7187269	-14.30587306	12	ASM	American Samoa							
16	2015	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	-170.7187269	-14.30587306	12	ASM	American Samoa							
20	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	1.576257417	42.54548611	7	AND	Andorra							
20	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	1.576257417	42.54548611	7	AND	Andorra							
20	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	1.576257417	42.54548611	7	AND	Andorra							
20	2015	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	1.576257417	42.54548611	7	AND	Andorra							
20	2000	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	1.576257417	42.54548611	7	AND	Andorra							
20	2005	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	1.576257417	42.54548611	7	AND	Andorra							
20	2010	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	1.576257417	42.54548611	7	AND	Andorra							
20	2015	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	1.576257417	42.54548611	7	AND	Andorra							
20	2000	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	1.576257417	42.54548611	7	AND	Andorra							
20	2005	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	1.576257417	42.54548611	7	AND	Andorra							
20	2010	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	1.576257417	42.54548611	7	AND	Andorra							
20	2015	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3	1.576257417	42.54548611	7	AND	Andorra							
24	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	17.57817062	-12.33724746	3	AGO	Angola	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	10.47	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
24	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	17.57817062	-12.33724746	3	AGO	Angola	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	11.902	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
24	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	17.57817062	-12.33724746	3	AGO	Angola	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	13.352	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
24	2015	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1	17.57817062	-12.33724746	3	AGO	Angola	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	15.655	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
24	2000	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	17.57817062	-12.33724746	3	AGO	Angola	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	5.511	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
24	2005	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	17.57817062	-12.33724746	3	AGO	Angola	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	6.246	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
24	2010	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	17.57817062	-12.33724746	3	AGO	Angola	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	7.049	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
24	2015	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2	17.57817062	-12.33724746	3	AGO	Angola	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	8.119	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
