series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	4	66.02688198	33.83160199	AFG	Afghanistan	1	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	18.709	23.176	25.538	29.4	2015	29.4	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	4	66.02688198	33.83160199	AFG	Afghanistan	2	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	9.215	11.158	12.53	14.411	2015	14.411	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	4	66.02688198	33.83160199	AFG	Afghanistan	3	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	9.494	12.018	13.008	14.99	2015	14.99	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	8	20.06660928	41.13897007	ALB	Albania	1	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	2.599	2.952	2.354	2.086	2015	2.086	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	8	20.06660928	41.13897007	ALB	Albania	2	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	0.689	0.825	0.706	0.723	2015	0.723	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	8	20.06660928	41.13897007	ALB	Albania	3	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	1.91	2.127	1.648	1.363	2015	1.363	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	10	21.47585697	-80.40897662	ATA	Antarctica	1	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	10	21.47585697	-80.40897662	ATA	Antarctica	2	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	10	21.47585697	-80.40897662	ATA	Antarctica	3	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	12	2.678164227	28.15940032	DZA	Algeria	1	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	19.087	19.964	20.007	22.342	2015	22.342	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	12	2.678164227	28.15940032	DZA	Algeria	2	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	8.353	8.769	8.19	8.614	2015	8.614	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	12	2.678164227	28.15940032	DZA	Algeria	3	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	10.734	11.195	11.817	13.728	2015	13.728	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CARDIO	Number of deaths attributed to cardiovascular disease	16	-170.7187269	-14.30587306	ASM	American Samoa	1	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP								
