series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	4	66.02688198	33.83160199	AFG	Afghanistan	1	15-49	ANNUAL	FEMALE	PERCENT																	42.1		42.1	2016	42.1	Afghanistan 2015 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	8	20.06660928	41.13897007	ALB	Albania	1	15-49	ANNUAL	FEMALE	PERCENT			10.5							12.9										2009	12.9	Albania 2008-2009 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	10	21.47585697	-80.40897662	ATA	Antarctica	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	12	2.678164227	28.15940032	DZA	Algeria	1	15-49	ANNUAL	FEMALE	PERCENT														77.2					77.2	2013	77.2	Algeria 2012-2013 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	20	1.576257417	42.54548611	AND	Andorra	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	24	17.57817062	-12.33724746	AGO	Angola	1	15-49	ANNUAL	FEMALE	PERCENT																	24.2		24.2	2016	24.2	Angola 2015-2016 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15-49	ANNUAL	FEMALE	PERCENT		17.8					21.5													2006	21.5	Azerbaijan 2006 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	32	-65.14563274	-35.19446255	ARG	Argentina	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	36	134.3499412	-25.57717202	AUS	Australia	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	40	14.14172472	47.58704857	AUT	Austria	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	44	-78.05111663	24.69546597	BHS	Bahamas	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	48	50.5490754	26.04407747	BHR	Bahrain	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	50	89.17660788	22.86961622	BGD	Bangladesh	1	15-49	ANNUAL	FEMALE	PERCENT	60.7				64.8			65.4				69.7		78.3	72.5				75.4	2014	72.5	Bangladesh 2014 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	51	44.93839317	40.29499741	ARM	Armenia	1	15-49	ANNUAL	FEMALE	PERCENT	28.4					26.9					39.2						40.2		40.2	2016	40.2	Armenia 2015 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	52	-59.5346489	13.13648273	BRB	Barbados	1	15-49	ANNUAL	FEMALE	PERCENT													70							2012	70	Barbados 2012 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	56	4.660976456	50.64104975	BEL	Belgium	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	60	-64.78155012	32.27881922	BMU	Bermuda	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	64	90.45098484	27.39598568	BTN	Bhutan	1	15-49	ANNUAL	FEMALE	PERCENT											84.6									2010	84.6	Bhutan 2010 Multiple Indicator Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	15-49	ANNUAL	FEMALE	PERCENT					43				42.8											2008	42.8	Bolivia 2008 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	15-49	ANNUAL	FEMALE	PERCENT													21.9							2012	21.9	Bosnia and Herzegovina 2011-2012 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	72	23.81380223	-22.18810073	BWA	Botswana	1	15-49	ANNUAL	FEMALE	PERCENT									82.1											2008	82.1	Botswana 2007 Family Health Survey - Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	76	-53.08432878	-10.77668561	BRA	Brazil	1	15-49	ANNUAL	FEMALE	PERCENT								89.3						90.1					90.1	2013	90.1	Brazil 2013 Pesquisa Nacional de Saúde	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	84	-88.70199554	17.19965901	BLZ	Belize	1	15-49	ANNUAL	FEMALE	PERCENT												73.1				65.9			65.9	2015	65.9	Belize 2015 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	15-49	ANNUAL	FEMALE	PERCENT								60												2007	60	Solomon Islands 2006-2007 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	100	25.23763153	42.75731323	BGR	Bulgaria	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	104	96.51752295	21.19332882	MMR	Myanmar	1	15-49	ANNUAL	FEMALE	PERCENT		58.5															75		75	2016	75	Myanmar 2015-2016 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	108	29.89080992	-3.366387428	BDI	Burundi	1	15-49	ANNUAL	FEMALE	PERCENT			17.5									32.6								2011	32.6	Burundi 2010 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	112	28.04940161	53.54193075	BLR	Belarus	1	15-49	ANNUAL	FEMALE	PERCENT													74.2							2012	74.2	Belarus 2012 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	116	104.922836	12.71163737	KHM	Cambodia	1	15-49	ANNUAL	FEMALE	PERCENT	33.1						41.7					51.8			56.4				56.4	2014	56.4	Cambodia 2014 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	120	12.7419827	5.692387031	CMR	Cameroon	1	15-49	ANNUAL	FEMALE	PERCENT					28.2							30.7			40.1				40.1	2014	40.1	Cameroon 2014 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	124	-101.6575058	57.72360191	CAN	Canada	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	15-49	ANNUAL	FEMALE	PERCENT						73.2														2005	73.2	Cape Verde 2005 Demographic and Reproductive Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	140	20.93559492	7.003720791	CAF	Central African Republic	1	15-49	ANNUAL	FEMALE	PERCENT												28.7								2011	28.7	Central African Republic 2010 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	144	80.70489654	7.614693343	LKA	Sri Lanka	1	15-49	ANNUAL	FEMALE	PERCENT	56.2							69.4												2007	69.4	Sri Lanka 2006-2007 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	148	18.66618401	15.36279341	TCD	Chad	1	15-49	ANNUAL	FEMALE	PERCENT					7.3						13.6					17.5			17.5	2015	17.5	Chad 2014-2015 Demographic and Health Survey and MICS	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	152	-71.23029019	-35.2652885	CHL	Chile	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	156	104.1403375	32.30955217	CHN	China	1	15-49	ANNUAL	FEMALE	PERCENT		96.6																		2001	96.6	China 2001 National Family Planning and Reproductive Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	162	105.6426067	-10.4882473	CXR	Christmas Island	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	170	-73.07446751	3.888209046	COL	Colombia	1	15-49	ANNUAL	FEMALE	PERCENT	73.6					78.6					83.7									2010	83.7	Colombia 2010 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	174	43.34234565	-11.66121732	COM	Comoros	1	15-49	ANNUAL	FEMALE	PERCENT													27.8							2012	27.8	Comoros 2012 Demographic and Health Survey and Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	175	45.14015057	-12.82217691	MYT	Mayotte	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	178	15.22052612	-0.840544119	COG	Congo	1	15-49	ANNUAL	FEMALE	PERCENT						21.5							31.8			38.5			38.5	2015	38.5	Congo 2014-2015 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	15-49	ANNUAL	FEMALE	PERCENT								12.2			18.4				15.6				15.6	2014	15.6	Democratic Republic of the Congo 2013-2014 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	184	-159.7711391	-21.22696458	COK	Cook Islands	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	188	-84.19712782	9.970998683	CRI	Costa Rica	1	15-49	ANNUAL	FEMALE	PERCENT												89.1								2011	89.1	Costa Rica 2011 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	191	17.95874553	45.45172212	HRV	Croatia	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	192	-79.54460144	22.10030366	CUB	Cuba	1	15-49	ANNUAL	FEMALE	PERCENT												87.8			88.4				88.4	2014	88.4	Cuba 2014 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	196	33.22285964	35.05659437	CYP	Cyprus	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	203	15.33151382	49.73913871	CZE	Czechia	1	15-49	ANNUAL	FEMALE	PERCENT						81			85.7											2008	85.7	Czech Republic 2008 Generations and Gender Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	204	2.339933594	9.65401646	BEN	Benin	1	15-49	ANNUAL	FEMALE	PERCENT		15.5					13.8						17.4		24.5				24.5	2014	24.5	Benin 2014 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	208	9.326571283	56.03829721	DNK	Denmark	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	212	-61.3493756	15.43391378	DMA	Dominica	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	15-49	ANNUAL	FEMALE	PERCENT			80					83.3						83.1	84.1				83.6	2014	84.1	Dominican Republic 2014 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	218	-78.37005241	-1.447785891	ECU	Ecuador	1	15-49	ANNUAL	FEMALE	PERCENT					73.3								80.7							2012	80.7	Ecuador 2012 Encuesta Nacional de Salud y Nutrición	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	222	-88.86862995	13.73603564	SLV	El Salvador	1	15-49	ANNUAL	FEMALE	PERCENT				69.2					72.9						81.9				81.9	2014	81.9	El Salvador 2014 MICS	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	15-49	ANNUAL	FEMALE	PERCENT												20.5								2011	20.5	Equatorial Guinea 2011 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	231	39.63505296	8.631223181	ETH	Ethiopia	1	15-49	ANNUAL	FEMALE	PERCENT	14.1					27.4						49.7			57.5	57.6	59		58.0333333333333	2016	59	Ethiopia 2016 PMA2020 Round 4	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	232	38.11074289	16.12894644	ERI	Eritrea	1	15-49	ANNUAL	FEMALE	PERCENT			19.7								19.6									2010	19.6	Eritrea 2010 Population and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	233	25.84093481	58.68487172	EST	Estonia	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	242	177.9660884	-17.83301566	FJI	Fiji	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	246	23.308447	61.91586738	FIN	Finland	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	248	19.80945969	60.1544901	ALA	Åland Islands	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	250	2.457288129	46.62660861	FRA	France	1	15-49	ANNUAL	FEMALE	PERCENT						95.5														2005	95.5	France 2005 Enquête du Baromètre Santé	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	254	-53.23619089	3.922673437	GUF	French Guiana	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	262	42.18274707	11.56004161	DJI	Djibouti	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	266	11.78727747	-0.60687619	GAB	Gabon	1	15-49	ANNUAL	FEMALE	PERCENT	22.1												33.7							2012	33.7	Gabon 2012 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	268	43.3713615	42.04813028	GEO	Georgia	1	15-49	ANNUAL	FEMALE	PERCENT	30.8					41.8					52.8									2010	52.8	Georgia 2010 Reproductive Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	270	-15.39944785	13.45295927	GMB	Gambia	1	15-49	ANNUAL	FEMALE	PERCENT											34.2			23.9					23.9	2013	23.9	Gambia 2013 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	275	35.25694122	31.94347933	PSE	State of Palestine	1	15-49	ANNUAL	FEMALE	PERCENT											64.9				64.8				64.8	2014	64.8	State of Palestine 2014 MICS	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	276	10.3806066	51.08862743	DEU	Germany	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	288	-1.205623522	7.964825185	GHA	Ghana	1	15-49	ANNUAL	FEMALE	PERCENT				31.3					28			40.8		31.9	41.6	44.5	40.6		39.65	2016	40.6	Ghana 2016 PMA2020 Round 5	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	292	-5.347561686	36.13895036	GIB	Gibraltar	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	296	-157.5643005	1.768837732	KIR	Kiribati	1	15-49	ANNUAL	FEMALE	PERCENT										35.8										2009	35.8	Kiribati 2009 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	300	22.58307827	39.47301873	GRC	Greece	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	304	-41.39371316	74.75625681	GRL	Greenland	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	308	-61.68248568	12.11238395	GRD	Grenada	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	316	144.7029305	13.35485404	GUM	Guam	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	320	-91.2312746	15.00273719	GTM	Guatemala	1	15-49	ANNUAL	FEMALE	PERCENT			48.7							58.7						65.5			65.5	2015	65.5	Guatemala 2014-2015 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	324	-11.28173419	11.00210343	GIN	Guinea	1	15-49	ANNUAL	FEMALE	PERCENT						18.4							15.7							2012	15.7	Guinea 2012 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	328	-58.97322037	4.788012784	GUY	Guyana	1	15-49	ANNUAL	FEMALE	PERCENT										56.3					52.5				52.5	2014	52.5	Guyana 2014 Multiple Indicator Cluster Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	332	-72.33640958	18.40426539	HTI	Haiti	1	15-49	ANNUAL	FEMALE	PERCENT	33.8						35.8						44.8							2012	44.8	Haiti 2012 Demographic and Health Survey	C
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	336	12.45315803	41.90343751	VAT	Holy See	1	15-49	ANNUAL	FEMALE	PERCENT																							
2017.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	340	-86.59974381	14.82243161	HND	Honduras	1	15-49	ANNUAL	FEMALE	PERCENT		69.9					68.7						76							2012	76	Honduras 2011-2012 Demographic and Health Survey	C
