geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2012	ANNUAL	PER_100000_POP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	93.20995701159703	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
8	2012	ANNUAL	PER_100000_POP	1	20.06660928	41.13897007	6	ALB	Albania	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	120.60404684712627	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
10	2012	ANNUAL	PER_100000_POP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2012	ANNUAL	PER_100000_POP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	1.18014973046805	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
16	2012	ANNUAL	PER_100000_POP	1	-170.7187269	-14.30587306	12	ASM	American Samoa							
20	2012	ANNUAL	PER_100000_POP	1	1.576257417	42.54548611	7	AND	Andorra	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
24	2012	ANNUAL	PER_100000_POP	1	17.57817062	-12.33724746	3	AGO	Angola	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	86.25573840600154	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
28	2012	ANNUAL	PER_100000_POP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	1.15266299441589	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
31	2012	ANNUAL	PER_100000_POP	1	50.01064725	40.39229544	19	AZE	Azerbaijan	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	25.73565013341876	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
32	2012	ANNUAL	PER_100000_POP	1	-65.14563274	-35.19446255	10	ARG	Argentina	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	3.31020757942994	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
36	2012	ANNUAL	PER_100000_POP	1	134.3499412	-25.57717202	17	AUS	Australia	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
40	2012	ANNUAL	PER_100000_POP	1	14.14172472	47.58704857	18	AUT	Austria	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
44	2012	ANNUAL	PER_100000_POP	1	-78.05111663	24.69546597	27	BHS	Bahamas	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
48	2012	ANNUAL	PER_100000_POP	1	50.5490754	26.04407747	26	BHR	Bahrain	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
