series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	INDEX							42.3	42.3	2016	42.3		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	INDEX												
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	INDEX												
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	INDEX							72.7	72.7	2016	72.7		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	INDEX												
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	INDEX							29	29	2016	29		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	INDEX		40.8		40.7	17.7			29.2	2014	17.7	World Health Organisation	C
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	INDEX							80.7	80.7	2016	80.7		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	INDEX	53.2	79.5		84.3	84.3			84.3	2014	84.3	World Health Organisation	C
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	INDEX							75.7	75.7	2016	75.7		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	INDEX							99.7	99.7	2016	99.7		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	INDEX							87.3	87.3	2016	87.3		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	INDEX							75	75	2016	75		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	INDEX							95.6	95.6	2016	95.6		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	INDEX							75.6	75.6	2016	75.6		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	INDEX	74.9	76.2	88.8	92.3	94.2	95.7		92.75	2015	95.7	World Health Organisation	C
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	INDEX							83.5	83.5	2016	83.5		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	INDEX							82.2	82.2	2016	82.2		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	INDEX												
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	INDEX							76.4	76.4	2016	76.4		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	INDEX							77.1	77.1	2016	77.1		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	INDEX							56.7	56.7	2016	56.7		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	INDEX	47.4			35		62		48.5	2015	62	World Health Organisation	C
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	INDEX												
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	INDEX							97.1	97.1	2016	97.1		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	INDEX	31.8	46.8	48.5	43.5		55.1		49.0333333333333	2015	55.1	World Health Organisation	C
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	INDEX												
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	INDEX			32.3	47.6	56.5	56.8		48.3	2015	56.8	World Health Organisation	C
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	INDEX												
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	INDEX	51.2	53.8	67.7	82.4	87.8	92.1		82.5	2015	92.1	World Health Organisation	C
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	INDEX		61.7			69.4			69.4	2014	69.4	World Health Organisation	C
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	INDEX							83.6	83.6	2016	83.6		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	INDEX							61.9	61.9	2016	61.9		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	INDEX		73.4			89.5			89.5	2014	89.5	World Health Organisation	C
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	INDEX							54.6	54.6	2016	54.6		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	INDEX							54.1	54.1	2016	54.1		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	INDEX							100	100	2016	100		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	INDEX							61.8	61.8	2016	61.8		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	INDEX												
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	INDEX							28.8	28.8	2016	28.8		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	INDEX							79.2	79.2	2016	79.2		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	INDEX							40.3	40.3	2016	40.3		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	INDEX							79.4	79.4	2016	79.4		NA
2017.Q2.G.01	SH_IHR_CAPPRD	International Health Regulations (IHR) core capacity index	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	INDEX							98.5	98.5	2016	98.5		NA
