series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Location	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_SAN_DEFECT	Proportion of population practicing open defecation	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	RURAL	PERCENT	31.55836	31.55836	30.6243	29.69024	28.75617	27.82211	26.88805	25.95399	25.01992	24.08586	23.1518	22.21773	21.28367	20.34961	19.41554	18.48148	20.349606	2015	18.48148	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_DEFECT	Proportion of population practicing open defecation	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	ALLAREA	PERCENT	26.47913	26.40419	25.46734	24.53193	23.59799	22.66442	21.73108	20.79828	19.86589	18.93421	18.00311	17.07267	16.143	15.21418	14.31275	13.54637	15.257794	2015	13.54637	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_DEFECT	Proportion of population practicing open defecation	4	66.02688198	33.83160199	AFG	Afghanistan	3	ANNUAL	URBAN	PERCENT	7.69204	7.69204	7.09266	6.49328	5.8939	5.29452	4.69514	4.09576	3.49638	2.897	2.29762	1.69824	1.09886	0.49948			1.09886	2013	0.49948	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_DEFECT	Proportion of population practicing open defecation	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	RURAL	PERCENT	1.1513	1.09898	1.04665	0.99432	0.942	0.88967	0.83734	0.78502	0.73269	0.68036	0.62804	0.57571	0.52338	0.47106	0.46913	0.46913	0.501682	2015	0.46913	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_DEFECT	Proportion of population practicing open defecation	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	ALLAREA	PERCENT	0.86468	0.81726	0.76778	0.71874	0.67016	0.62206	0.57443	0.52728	0.48061	0.43446	0.38879	0.34364	0.29898	0.2549	0.2045	0.19982	0.260368	2015	0.19982	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_DEFECT	Proportion of population practicing open defecation	8	20.06660928	41.13897007	ALB	Albania	3	ANNUAL	URBAN	PERCENT	0.46463	0.43511	0.40558	0.37606	0.34654	0.31701	0.28749	0.25796	0.22844	0.19892	0.16939	0.13987	0.11034	0.08077			0.110326666666667	2013	0.08077	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_DEFECT	Proportion of population practicing open defecation	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	RURAL	PERCENT																					
2017.Q2.G.01	SH_SAN_DEFECT	Proportion of population practicing open defecation	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	ALLAREA	PERCENT																					
2017.Q2.G.01	SH_SAN_DEFECT	Proportion of population practicing open defecation	10	21.47585697	-80.40897662	ATA	Antarctica	3	ANNUAL	URBAN	PERCENT																					
2017.Q2.G.01	SH_SAN_DEFECT	Proportion of population practicing open defecation	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	RURAL	PERCENT	14.81241	13.97671	13.14101	12.30532	11.46962	10.63392	9.79823	8.96253	8.12684	7.29114	6.45544	5.61975	4.78405	3.94835	3.11266	2.27696	3.948354	2015	2.27696	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_DEFECT	Proportion of population practicing open defecation	12	2.678164227	28.15940032	DZA	Algeria	2	ANNUAL	ALLAREA	PERCENT	6.38279	5.92046	5.47129	5.03543	4.61273	4.20325	3.80661	3.42284	3.05159	2.69395	2.34918	2.01676	1.69623	1.38704	1.08868	0.80065	1.397872	2015	0.80065	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
