series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Location	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_SAN_SAFE	Proportion of population using safely managed sanitation services	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	RURAL	PERCENT																					
2017.Q2.G.01	SH_SAN_SAFE	Proportion of population using safely managed sanitation services	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	ALLAREA	PERCENT																					
2017.Q2.G.01	SH_SAN_SAFE	Proportion of population using safely managed sanitation services	4	66.02688198	33.83160199	AFG	Afghanistan	3	ANNUAL	URBAN	PERCENT																					
2017.Q2.G.01	SH_SAN_SAFE	Proportion of population using safely managed sanitation services	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	RURAL	PERCENT	48.0036	49.15618	50.30876	51.46135	52.61393	53.76651	54.9191	56.07168	57.22426	58.37685	59.52943	60.68202	61.8346	62.98718	63.9407	63.9407	62.67704	2015	63.9407	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_SAFE	Proportion of population using safely managed sanitation services	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	ALLAREA	PERCENT	54.667	55.48822	56.34666	57.1836	57.99884	58.79175	59.56248	60.31081	61.03656	61.73928	62.41942	63.07669	63.71125	64.30558	64.8023	64.81757	64.142678	2015	64.81757	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_SAFE	Proportion of population using safely managed sanitation services	8	20.06660928	41.13897007	ALB	Albania	3	ANNUAL	URBAN	PERCENT	64.00548	64.11296	64.22043	64.3279	64.43538	64.54285	64.65032	64.7578	64.86527	64.97275	65.08022	65.18769	65.29517	65.37226	65.47064	65.47064	65.35928	2015	65.47064	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_SAFE	Proportion of population using safely managed sanitation services	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	RURAL	PERCENT																					
2017.Q2.G.01	SH_SAN_SAFE	Proportion of population using safely managed sanitation services	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	ALLAREA	PERCENT																					
2017.Q2.G.01	SH_SAN_SAFE	Proportion of population using safely managed sanitation services	10	21.47585697	-80.40897662	ATA	Antarctica	3	ANNUAL	URBAN	PERCENT																					
2017.Q2.G.01	SH_SAN_SAFE	Proportion of population using safely managed sanitation services	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	RURAL	PERCENT	23.53216	23.58154	23.63092	23.68029	23.72967	23.77904	23.82842	23.87779	23.92717	23.97655	24.02592	24.0753	24.12467	24.17405	24.22343	24.2728	24.17405	2015	24.2728	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
