series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT														14.3							34.3	38.6	39.9		45.2	50.5		45.2	2015	50.5	Central Statistics Organization (CSO), Ministry of Public Health (MoPH), and ICF International. Afghanistan Demographic and Health Survey 2015: Key Indicators. Kabul, Afghanistan, and Rockville, Maryland USA: Central Statistics Organization, Ministry of Public Health, and ICF International; 2016.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT	93	92.6	86.4	87.2	89.1	89.1	91.2	98.8	99.1	99	99.1		98			99.8				99.3									2009	99.3	Institute of Statistics, Institute of Public Health [Albania] and ICF Macro. Albania Demographic and Health Survey 2008-09. Tirana, Albania: Institute of Statistics, Institute of Public Health and ICF Macro, 2010.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT			76.5														95.2						96.6					96.6	2012	96.6	Ministère de la Santé, de la Population et de la Réforme Hospitalière, UNICEF, UNFPA. Enquête par Grappes à Indicateurs Multiples (MICS) 2012 - 2013, Rapport final. Algérie; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT																																
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT							22.5											47.3											2007	47.3	Consultoria de Serviços e Pesquisas–COSEP Lda., Consultoria de Gestão e Administração em Saúde–Consaúde Lda. [Angola], and Macro International Inc. Angola Malaria Indicator Survey 2006-07. Calverton, Maryland, USA: COSEP Lda., Consaúde Lda., and Macro International Inc., 2007.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT							100		100		99.9	100		99	100	99.9	99.9	100	100	100	100		100	100	100			100	2014	100	Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2015. Washington, D.C., United States of America; 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT	97.3	97.2	96.5	96.3	99.6	91.5	87.9	90.4	91.5	92.4	80.7	88	94	95.8	95.9	94.4	88.6	93	98	99.8	99.4	97.2	99.8	99.9	99.9			99.8666666666667	2014	99.9	Statistical Yearbook of Azerbaijan 2015. Baku, 2015.	C
2017.Q2.G.01	SH_STA_BRTC	Proportion of births attended by skilled health personnel, total (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT	96.9		95.8			98.5		97.2	97.5	97.5	99.1	98.4	98.9	98.7	99.1	99.1	99.4	99.4	94.8	97.9	95	97.1	98.2	97	99.6			98.2666666666667	2014	99.6	Ministerio de Salud. Estadísticas Vitales -Información Básica - Ano 2014. Buenos Aires, Argentina; 2015.	C
