geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2000	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	66.02688198	33.83160199	2	AFG	Afghanistan	107.065073187662	Float		DHS 2000	E
4	2005	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	66.02688198	33.83160199	2	AFG	Afghanistan	46.5450139016879	Float		DHS 2000	E
4	2010	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	66.02688198	33.83160199	2	AFG	Afghanistan	23.9075545438736	Float		DHS 2000	E
4	2015	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	66.02688198	33.83160199	2	AFG	Afghanistan	23.6009267983571	Float		DHS 2000	E
8	2000	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	20.06660928	41.13897007	6	ALB	Albania					
8	2005	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	20.06660928	41.13897007	6	ALB	Albania					
8	2010	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	20.06660928	41.13897007	6	ALB	Albania					
8	2015	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	20.06660928	41.13897007	6	ALB	Albania					
10	2000	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2005	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2010	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2015	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2000	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	2.678164227	28.15940032	66	DZA	Algeria	0.03774626348931	Float		DHS 2000	E
12	2005	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	2.678164227	28.15940032	66	DZA	Algeria	0.00202140967268	Float		DHS 2000	E
12	2010	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	2.678164227	28.15940032	66	DZA	Algeria	0.00127316248422	Float		DHS 2000	E
12	2015	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	2.678164227	28.15940032	66	DZA	Algeria	0.00190354202027	Float		DHS 2000	E
16	2000	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2005	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2010	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2015	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2000	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	1.576257417	42.54548611	7	AND	Andorra					
20	2005	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	1.576257417	42.54548611	7	AND	Andorra					
20	2010	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	1.576257417	42.54548611	7	AND	Andorra					
20	2015	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	1.576257417	42.54548611	7	AND	Andorra					
24	2000	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	17.57817062	-12.33724746	3	AGO	Angola	315.596748411111	Float		DHS 2000	M
24	2005	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	17.57817062	-12.33724746	3	AGO	Angola	299.514497836257	Float		DHS 2000	M
24	2010	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	17.57817062	-12.33724746	3	AGO	Angola	114.230877578717	Float		DHS 2000	M
24	2015	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	17.57817062	-12.33724746	3	AGO	Angola	124.029155645354	Float		DHS 2000	M
28	2000	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	2005	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	2010	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	2015	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
31	2000	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	50.01064725	40.39229544	19	AZE	Azerbaijan	17.8610280286445	Float		DHS 2000	E
31	2005	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	50.01064725	40.39229544	19	AZE	Azerbaijan	2.6849307289913	Float		DHS 2000	E
31	2010	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	50.01064725	40.39229544	19	AZE	Azerbaijan	0.52201464251331	Float		DHS 2000	E
31	2015	ANNUAL	PER_1000_POP	1	2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	50.01064725	40.39229544	19	AZE	Azerbaijan	0	Float		DHS 2000	E
