series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	FEMALE	PER_100000_POP	2.6600001	2.6500001	2.4400001	2.47	2015	2.47	Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	BOTHSEX	PER_100000_POP	2.02	1.84	1.62	1.58	2015	1.58	Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	4	66.02688198	33.83160199	AFG	Afghanistan	3	ANNUAL	MALE	PER_100000_POP	1.41	1.09	0.83999997	0.75999999	2015	0.75999999	Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	FEMALE	PER_100000_POP	0.51999998	0.34	0.22	0.22	2015	0.22	Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	BOTHSEX	PER_100000_POP	0.89999998	0.5	0.31	0.27000001	2015	0.27000001	Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	8	20.06660928	41.13897007	ALB	Albania	3	ANNUAL	MALE	PER_100000_POP	1.28	0.64999998	0.40000001	0.33000001	2015	0.33000001	Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	FEMALE	PER_100000_POP								
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	BOTHSEX	PER_100000_POP								
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	10	21.47585697	-80.40897662	ATA	Antarctica	3	ANNUAL	MALE	PER_100000_POP								
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	FEMALE	PER_100000_POP	1.15	1.01	0.93000001	0.92000002	2015	0.92000002	Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	12	2.678164227	28.15940032	DZA	Algeria	2	ANNUAL	BOTHSEX	PER_100000_POP	1.13	1.03	1.0599999	1.0599999	2015	1.0599999	Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	12	2.678164227	28.15940032	DZA	Algeria	3	ANNUAL	MALE	PER_100000_POP	1.1	1.05	1.1900001	1.2	2015	1.2	Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	FEMALE	PER_100000_POP								
2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ANNUAL	BOTHSEX	PER_100000_POP								
