series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	FEMALE	NUMBER	0.158	0.231	0.293	0.401	2015	0.401	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	MALE	NUMBER	0.792	1.082	1.147	1.395	2015	1.395	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	3	ANNUAL	BOTHSEX	NUMBER	0.95	1.313	1.44	1.796	2015	1.796	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	FEMALE	NUMBER	0.047	0.056	0.043	0.04	2015	0.04	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	MALE	NUMBER	0.141	0.139	0.111	0.084	2015	0.084	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	8	20.06660928	41.13897007	ALB	Albania	3	ANNUAL	BOTHSEX	NUMBER	0.188	0.195	0.153	0.124	2015	0.124	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	FEMALE	NUMBER								
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	MALE	NUMBER								
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	3	ANNUAL	BOTHSEX	NUMBER								
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	FEMALE	NUMBER	0.312	0.338	0.246	0.236	2015	0.236	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	12	2.678164227	28.15940032	DZA	Algeria	2	ANNUAL	MALE	NUMBER	0.626	0.874	0.977	0.989	2015	0.989	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	12	2.678164227	28.15940032	DZA	Algeria	3	ANNUAL	BOTHSEX	NUMBER	0.937	1.212	1.223	1.225	2015	1.225	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	FEMALE	NUMBER								
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ANNUAL	MALE	NUMBER								
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	ANNUAL	BOTHSEX	NUMBER								
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	FEMALE	NUMBER								
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	20	1.576257417	42.54548611	AND	Andorra	2	ANNUAL	MALE	NUMBER								
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	20	1.576257417	42.54548611	AND	Andorra	3	ANNUAL	BOTHSEX	NUMBER								
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	FEMALE	NUMBER	0.709	0.958	1.227	1.461	2015	1.461	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	24	17.57817062	-12.33724746	AGO	Angola	2	ANNUAL	MALE	NUMBER	2.061	2.628	3.155	3.663	2015	3.663	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	24	17.57817062	-12.33724746	AGO	Angola	3	ANNUAL	BOTHSEX	NUMBER	2.77	3.586	4.381	5.124	2015	5.124	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	FEMALE	NUMBER	0	0	0	0	2015	0	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	ANNUAL	MALE	NUMBER	0.002	0.001	0	0	2015	0	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	ANNUAL	BOTHSEX	NUMBER	0.002	0.001	0	0	2015	0	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	FEMALE	NUMBER	0.038	0.057	0.061	0.06	2015	0.06	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	ANNUAL	MALE	NUMBER	0.167	0.233	0.263	0.259	2015	0.259	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	ANNUAL	BOTHSEX	NUMBER	0.205	0.29	0.323	0.319	2015	0.319	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	FEMALE	NUMBER	0.969	0.926	0.996	1.096	2015	1.096	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	32	-65.14563274	-35.19446255	ARG	Argentina	2	ANNUAL	MALE	NUMBER	3.97	3.856	4.321	5.069	2015	5.069	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	32	-65.14563274	-35.19446255	ARG	Argentina	3	ANNUAL	BOTHSEX	NUMBER	4.939	4.782	5.317	6.166	2015	6.166	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	FEMALE	NUMBER	0.554	0.562	0.645	0.76	2015	0.76	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	36	134.3499412	-25.57717202	AUS	Australia	2	ANNUAL	MALE	NUMBER	2.006	1.843	2.03	2.059	2015	2.059	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	36	134.3499412	-25.57717202	AUS	Australia	3	ANNUAL	BOTHSEX	NUMBER	2.56	2.404	2.675	2.819	2015	2.819	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	FEMALE	NUMBER	0.435	0.361	0.323	0.338	2015	0.338	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	40	14.14172472	47.58704857	AUT	Austria	2	ANNUAL	MALE	NUMBER	1.158	1.048	1.016	1.064	2015	1.064	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	40	14.14172472	47.58704857	AUT	Austria	3	ANNUAL	BOTHSEX	NUMBER	1.593	1.409	1.339	1.402	2015	1.402	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	FEMALE	NUMBER	0.001	0	0.002	0.001	2015	0.001	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	44	-78.05111663	24.69546597	BHS	Bahamas	2	ANNUAL	MALE	NUMBER	0.004	0.002	0.005	0.006	2015	0.006	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	44	-78.05111663	24.69546597	BHS	Bahamas	3	ANNUAL	BOTHSEX	NUMBER	0.005	0.002	0.007	0.007	2015	0.007	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	FEMALE	NUMBER	0.007	0.009	0.012	0.013	2015	0.013	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	48	50.5490754	26.04407747	BHR	Bahrain	2	ANNUAL	MALE	NUMBER	0.027	0.048	0.074	0.077	2015	0.077	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	48	50.5490754	26.04407747	BHR	Bahrain	3	ANNUAL	BOTHSEX	NUMBER	0.034	0.057	0.087	0.09	2015	0.09	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	FEMALE	NUMBER	5.27	6.356	6.162	5.176	2015	5.176	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	50	89.17660788	22.86961622	BGD	Bangladesh	2	ANNUAL	MALE	NUMBER	3.96	3.316	3.34	3.703	2015	3.703	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	50	89.17660788	22.86961622	BGD	Bangladesh	3	ANNUAL	BOTHSEX	NUMBER	9.23	9.672	9.502	8.879	2015	8.879	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	FEMALE	NUMBER	0.029	0.028	0.032	0.038	2015	0.038	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	51	44.93839317	40.29499741	ARM	Armenia	2	ANNUAL	MALE	NUMBER	0.093	0.107	0.124	0.124	2015	0.124	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	51	44.93839317	40.29499741	ARM	Armenia	3	ANNUAL	BOTHSEX	NUMBER	0.122	0.134	0.155	0.162	2015	0.162	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	E
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	FEMALE	NUMBER	0.001	0.001	0.001	0	2015	0	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	52	-59.5346489	13.13648273	BRB	Barbados	2	ANNUAL	MALE	NUMBER	0.004	0.006	0.004	0.001	2015	0.001	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	52	-59.5346489	13.13648273	BRB	Barbados	3	ANNUAL	BOTHSEX	NUMBER	0.005	0.007	0.005	0.001	2015	0.001	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	FEMALE	NUMBER	0.691	0.612	0.676	0.712	2015	0.712	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	56	4.660976456	50.64104975	BEL	Belgium	2	ANNUAL	MALE	NUMBER	1.632	1.554	1.545	1.61	2015	1.61	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	56	4.660976456	50.64104975	BEL	Belgium	3	ANNUAL	BOTHSEX	NUMBER	2.323	2.165	2.221	2.321	2015	2.321	Global Health Estimates 2015- Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	CA
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	FEMALE	NUMBER								
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	60	-64.78155012	32.27881922	BMU	Bermuda	2	ANNUAL	MALE	NUMBER								
2017.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, total and by sex (number)	60	-64.78155012	32.27881922	BMU	Bermuda	3	ANNUAL	BOTHSEX	NUMBER								
