series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PER_100000_POP	15.7	16	15.7	15.5	16.1	16	15.8	15.8	15.9	15.7	15.7	15.6	15.4	15.5	15.58	2013	15.5	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	E
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PER_100000_POP	14.9	14.9	15.3	15.2	15.4	15.6	15.8	16	15.9	16	15.9	15.9	15	15.1	15.58	2013	15.1	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	E
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PER_100000_POP																			
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PER_100000_POP	24	24	23.9	24	24.2	24.2	24.6	24.7	24.9	25	24.8	25.1	23.8	23.8	24.5	2013	23.8	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	E
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PER_100000_POP																			
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PER_100000_POP	9.2	8.8	9.8	9.3	1.3	6.2	3.7	3.7	3.8	3.8	3.9	5.1	7.7	7.6	5.62	2013	7.6	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	C
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PER_100000_POP	24.1	24.1	23.8	24.3	24.4	24.1	23.6	23.4	23.2	23.8	23.8	23.9	28.5	26.9	25.38	2013	26.9	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	E
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PER_100000_POP	9	12.7	2.5	9.9	8.6	6.1	9.6	10.7	11.7	7	5.7	11.3	3.4	6.7	6.82	2013	6.7	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	C
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PER_100000_POP	7.9	10	10.1	14.5	10.3	13.8	13.2	13.6	12.8	11.2	11	11.9	13.5	10	11.52	2013	10	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	CA
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PER_100000_POP	11.5	11.6	9.8	9.4	10.3	11.4	12.8	13.8	14.5	13	12.9	14.1	13.3	13.6	13.38	2013	13.6	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	CA
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PER_100000_POP	9.5	9.1	8.7	8.1	7.8	8.2	7.9	7.6	7	7	6.4	5.9	5.9	5.4	6.12	2013	5.4	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	CA
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PER_100000_POP	12.2	11.9	11.8	11.4	10.7	9.3	8.8	8.3	8.1	7.6	6.7	6.2	6.3	5.4	6.44	2013	5.4	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	CA
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PER_100000_POP	24.9	20.8	17.5	13	15.8	20.1	14.6	15.5	14.4	16.1	12.2	10.9	11.3	13.8	12.86	2013	13.8	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	CA
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PER_100000_POP	12	17.3	19	16.2	15.8	15.8	22	15.9	13.5	13.4	10.7	9.6	11.2	8	10.58	2013	8	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	CA
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PER_100000_POP	14.3	14.2	14.2	14	14.4	14.4	14.3	14.4	14.4	14.5	14.5	14.3	13.6	13.6	14.1	2013	13.6	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	E
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PER_100000_POP	20.6	20.1	19.8	19.4	19.3	19	18.7	18.5	18.6	19.1	19.1	19	18.4	18.3	18.78	2013	18.3	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	E
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PER_100000_POP	15	8.6	11.5	11.8	16.9	8.8	7.6	9.8	5.8	8.6	8.9	11	10.2	6.7	9.08	2013	6.7	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	CA
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PER_100000_POP	14.8	14.9	13	12	11.4	11	10.5	10.8	9.4	9.4	8.1	8.4	7.4	6.7	8	2013	6.7	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	CA
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PER_100000_POP																			
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PER_100000_POP	16.5	16.7	16.5	16.5	17	17.1	17.1	17.1	17.2	17.5	17.4	15.8	15.1	15.1	16.18	2013	15.1	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	E
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PER_100000_POP	15.8	16.1	16.6	16.6	16.5	16.7	20.6	16.2	17	16.7	17.1	17.3	22.8	23.2	19.42	2013	23.2	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	E
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PER_100000_POP	19.3	19.2	19.1	18.8	18.5	18.5	18.5	18.3	18.1	18.1	18	16.3	17.6	17.7	17.54	2013	17.7	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	E
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PER_100000_POP	30.1	29.5	28.7	30.4	28.7	27	27	26.9	26.9	27.5	27.4	24.9	23.8	23.6	25.44	2013	23.6	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	E
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PER_100000_POP																			
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PER_100000_POP	16.9	17.4	18.4	18.3	19.3	19.3	19.3	19.7	20	19.4	21.9	22	22.6	23.4	21.86	2013	23.4	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	CA
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PER_100000_POP	30.6	39.2	37.7	32.9	24.1	37.5	30.1	33.9	35.4	16.9	14.6	20.9	21.9	24.4	19.74	2013	24.4	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)	CA
2017.Q2.G.01	SH_STA_TRAF	Death rate due to road traffic injuries	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PER_100000_POP																			
