series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	MP	190	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	2015	189	WHO Global Tuberculosis Report 2016 (http://www.who.int/tb/data/)	E
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	4	66.02688198	33.83160199	AFG	Afghanistan	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	LB	123	123	122	122	122	122	122	122	122	123	123	123	122	122	122	122	122.2	2015	122	WHO Global Tuberculosis Report 2016 (http://www.who.int/tb/data/)	E
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	4	66.02688198	33.83160199	AFG	Afghanistan	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	UB	271	271	270	270	270	270	270	270	270	270	270	270	270	270	270	270	270	2015	270	WHO Global Tuberculosis Report 2016 (http://www.who.int/tb/data/)	E
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	MP	23	21	23	21	21	20	18	17	17	17	17	17	16	18	19	19	17.8	2015	19	WHO Global Tuberculosis Report 2016 (http://www.who.int/tb/data/)	E
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	8	20.06660928	41.13897007	ALB	Albania	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	LB	19	18	19	18	18	17	16	15	14	15	14	14	14	16	16	16	15.2	2015	16	WHO Global Tuberculosis Report 2016 (http://www.who.int/tb/data/)	E
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	8	20.06660928	41.13897007	ALB	Albania	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	UB	26	24	26	25	24	23	21	20	19	20	20	19	19	21	22	22	20.6	2015	22	WHO Global Tuberculosis Report 2016 (http://www.who.int/tb/data/)	E
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	MP																					
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	10	21.47585697	-80.40897662	ATA	Antarctica	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	LB																					
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	10	21.47585697	-80.40897662	ATA	Antarctica	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	UB																					
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	MP	74	72	74	76	76	80	78	78	74	77	77	73	73	68	72	75	72.2	2015	75	WHO Global Tuberculosis Report 2016 (http://www.who.int/tb/data/)	E
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	12	2.678164227	28.15940032	DZA	Algeria	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	LB	57	56	57	59	58	62	60	60	57	59	60	56	56	52	56	58	55.6	2015	58	WHO Global Tuberculosis Report 2016 (http://www.who.int/tb/data/)	E
2017.Q2.G.01	SH_TBS_INCD	Tuberculosis incidence per 100,000 population	12	2.678164227	28.15940032	DZA	Algeria	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_POP	UB	94	91	93	96	96	101	99	98	93	97	98	92	92	85	91	94	90.8	2015	94	WHO Global Tuberculosis Report 2016 (http://www.who.int/tb/data/)	E
