geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	1998	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	1999	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2002	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2003	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2004	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2006	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan	0.16405	Float		World Bank	
4	2008	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2011	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2012	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2013	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	66.02688198	33.83160199	2	AFG	Afghanistan					
8	1998	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	1999	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2002	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2003	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2004	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2006	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2008	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania	48.437339	Float		World Bank	
8	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2011	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2012	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania	38.229705	Float		World Bank	
8	2013	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
8	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	20.06660928	41.13897007	6	ALB	Albania					
10	1998	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	1999	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2002	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2003	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2004	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2006	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2008	ANNUAL	PERCENT	1	2017.Q2.G.01	SI_COV_SOCINSPQ	Proportion of poorest quintile population covered by social insurance programs, total (%)	21.47585697	-80.40897662	13	ATA	Antarctica					
