series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	FEMALE	PERCENT												18.75					18.75	2011	18.75	Albanian time use survey (ATUS) 2010-2011	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	MALE	PERCENT												3.125					3.125	2011	3.125	Albanian time use survey (ATUS) 2010-2011	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	FEMALE	PERCENT													19.583333				19.583333	2012	19.583333	National Survey on time use of Algerians – ENET 2012	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	12	2.678164227	28.15940032	DZA	Algeria	2	ANNUAL	MALE	PERCENT													2.916667				2.916667	2012	2.916667	National Survey on time use of Algerians – ENET 2012	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	20	1.576257417	42.54548611	AND	Andorra	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	24	17.57817062	-12.33724746	AGO	Angola	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	31	50.01064725	40.39229544	AZE	Azerbaijan	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	FEMALE	PERCENT						12.708333					14.166667			14.166667			14.166667	2013	14.166667	1st Survey unpaid work and time use 2013	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	32	-65.14563274	-35.19446255	ARG	Argentina	2	ANNUAL	MALE	PERCENT						4.583333					5			5			5	2013	5	1st Survey unpaid work and time use 2013	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	FEMALE	PERCENT							15.972222											2006	15.972222	2006 Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	36	134.3499412	-25.57717202	AUS	Australia	2	ANNUAL	MALE	PERCENT							9.375											2006	9.375	2006 Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	FEMALE	PERCENT										14.444444								2009	14.444444	Time Use Survey 2008/09	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	40	14.14172472	47.58704857	AUT	Austria	2	ANNUAL	MALE	PERCENT										7.569444								2009	7.569444	Time Use Survey 2008/09	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	44	-78.05111663	24.69546597	BHS	Bahamas	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	48	50.5490754	26.04407747	BHR	Bahrain	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	50	89.17660788	22.86961622	BGD	Bangladesh	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	FEMALE	PERCENT					20.277778				18.472222									2008	18.472222	Time Use Sample Survey in the Republic of Armenia	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	51	44.93839317	40.29499741	ARM	Armenia	2	ANNUAL	MALE	PERCENT					3.472222				3.75									2008	3.75	Time Use Sample Survey in the Republic of Armenia	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	52	-59.5346489	13.13648273	BRB	Barbados	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	FEMALE	PERCENT	14.097222					13.194444								13.819444			13.819444	2013	13.819444	Harmonised European Belgian Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	56	4.660976456	50.64104975	BEL	Belgium	2	ANNUAL	MALE	PERCENT	8.263889					8.263889								8.958333			8.958333	2013	8.958333	Harmonised European Belgian Time Use Survey	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	60	-64.78155012	32.27881922	BMU	Bermuda	2	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	FEMALE	PERCENT								12.152778										2007	12.152778	Pilot Time use survey	CA
2017.Q2.G.01	SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores	64	90.45098484	27.39598568	BTN	Bhutan	2	ANNUAL	MALE	PERCENT								4.652778										2007	4.652778	Pilot Time use survey	CA
