series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2000	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married by age 18	4	66.02688198	33.83160199	AFG	Afghanistan	1	20-24	ANNUAL	FEMALE	PERCENT														34.8	34.8	2015	34.8	DHS 2015	C
2017.Q2.G.01	SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married by age 18	8	20.06660928	41.13897007	ALB	Albania	1	20-24	ANNUAL	FEMALE	PERCENT							9.6									2008	9.6	DHS 2008-09	C
2017.Q2.G.01	SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married by age 18	10	21.47585697	-80.40897662	ATA	Antarctica	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married by age 18	12	2.678164227	28.15940032	DZA	Algeria	1	20-24	ANNUAL	FEMALE	PERCENT											2.5				2.5	2012	2.5	MICS 2012-13	C
2017.Q2.G.01	SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married by age 18	16	-170.7187269	-14.30587306	ASM	American Samoa	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married by age 18	20	1.576257417	42.54548611	AND	Andorra	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married by age 18	24	17.57817062	-12.33724746	AGO	Angola	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married by age 18	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married by age 18	31	50.01064725	40.39229544	AZE	Azerbaijan	1	20-24	ANNUAL	FEMALE	PERCENT										11					11	2011	11	DHS 2011	C
2017.Q2.G.01	SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married by age 18	32	-65.14563274	-35.19446255	ARG	Argentina	1	20-24	ANNUAL	FEMALE	PERCENT																			
