geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2016	ANNUAL	PER_1000_USD	1	66.02688198	33.83160199	2	AFG	Afghanistan	VC_DSR_AALG	Direct disaster economic loss, average annual loss in relation to global GDP	11.045394923624881	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
8	2016	ANNUAL	PER_1000_USD	1	20.06660928	41.13897007	6	ALB	Albania	VC_DSR_AALG	Direct disaster economic loss, average annual loss in relation to global GDP	5.639777662698025	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
10	2016	ANNUAL	PER_1000_USD	1	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2016	ANNUAL	PER_1000_USD	1	2.678164227	28.15940032	66	DZA	Algeria	VC_DSR_AALG	Direct disaster economic loss, average annual loss in relation to global GDP	5.401780459792915	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
16	2016	ANNUAL	PER_1000_USD	1	-170.7187269	-14.30587306	12	ASM	American Samoa							
20	2016	ANNUAL	PER_1000_USD	1	1.576257417	42.54548611	7	AND	Andorra	VC_DSR_AALG	Direct disaster economic loss, average annual loss in relation to global GDP	0.036933296936361	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
24	2016	ANNUAL	PER_1000_USD	1	17.57817062	-12.33724746	3	AGO	Angola	VC_DSR_AALG	Direct disaster economic loss, average annual loss in relation to global GDP	1.189316238772484	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
28	2016	ANNUAL	PER_1000_USD	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	VC_DSR_AALG	Direct disaster economic loss, average annual loss in relation to global GDP	220.544873567950080	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
31	2016	ANNUAL	PER_1000_USD	1	50.01064725	40.39229544	19	AZE	Azerbaijan	VC_DSR_AALG	Direct disaster economic loss, average annual loss in relation to global GDP	4.130561380722917	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
32	2016	ANNUAL	PER_1000_USD	1	-65.14563274	-35.19446255	10	ARG	Argentina	VC_DSR_AALG	Direct disaster economic loss, average annual loss in relation to global GDP	3.258844044488386	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
36	2016	ANNUAL	PER_1000_USD	1	134.3499412	-25.57717202	17	AUS	Australia	VC_DSR_AALG	Direct disaster economic loss, average annual loss in relation to global GDP	3.227207762571486	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
40	2016	ANNUAL	PER_1000_USD	1	14.14172472	47.58704857	18	AUT	Austria	VC_DSR_AALG	Direct disaster economic loss, average annual loss in relation to global GDP	2.590826900253858	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
44	2016	ANNUAL	PER_1000_USD	1	-78.05111663	24.69546597	27	BHS	Bahamas	VC_DSR_AALG	Direct disaster economic loss, average annual loss in relation to global GDP	257.330356618295070	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
