geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2016	ANNUAL	CU_USD	1	66.02688198	33.83160199	2	AFG	Afghanistan	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	60187.9	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
8	2016	ANNUAL	CU_USD	1	20.06660928	41.13897007	6	ALB	Albania	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	40459.7	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
10	2016	ANNUAL	CU_USD	1	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2016	ANNUAL	CU_USD	1	2.678164227	28.15940032	66	DZA	Algeria	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	899206	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
16	2016	ANNUAL	CU_USD	1	-170.7187269	-14.30587306	12	ASM	American Samoa							
20	2016	ANNUAL	CU_USD	1	1.576257417	42.54548611	7	AND	Andorra	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	8381.65	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
24	2016	ANNUAL	CU_USD	1	17.57817062	-12.33724746	3	AGO	Angola	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	176183	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
28	2016	ANNUAL	CU_USD	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	6257.29	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
31	2016	ANNUAL	CU_USD	1	50.01064725	40.39229544	19	AZE	Azerbaijan	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	192784	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
32	2016	ANNUAL	CU_USD	1	-65.14563274	-35.19446255	10	ARG	Argentina	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	1380560	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
36	2016	ANNUAL	CU_USD	1	134.3499412	-25.57717202	17	AUS	Australia	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	6616530	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
40	2016	ANNUAL	CU_USD	1	14.14172472	47.58704857	18	AUT	Austria	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	1801470	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
44	2016	ANNUAL	CU_USD	1	-78.05111663	24.69546597	27	BHS	Bahamas	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	45743.7	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
48	2016	ANNUAL	CU_USD	1	50.5490754	26.04407747	26	BHR	Bahrain	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	103503	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
50	2016	ANNUAL	CU_USD	1	89.17660788	22.86961622	24	BGD	Bangladesh	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	381432	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
51	2016	ANNUAL	CU_USD	1	44.93839317	40.29499741	11	ARM	Armenia	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	22895.2	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
52	2016	ANNUAL	CU_USD	1	-59.5346489	13.13648273	35	BRB	Barbados	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	14036.5	Float		UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
