series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2016	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CU_USD	60187.9	2016	60187.9	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CU_USD	40459.7	2016	40459.7	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CU_USD					
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CU_USD	899206	2016	899206	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CU_USD					
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CU_USD	8381.65	2016	8381.65	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CU_USD	176183	2016	176183	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CU_USD	6257.29	2016	6257.29	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CU_USD	192784	2016	192784	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CU_USD	1380560	2016	1380560	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CU_USD	6616530	2016	6616530	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CU_USD	1801470	2016	1801470	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CU_USD	45743.7	2016	45743.7	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CU_USD	103503	2016	103503	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CU_USD	381432	2016	381432	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CU_USD	22895.2	2016	22895.2	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CU_USD	14036.5	2016	14036.5	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	CU_USD	1980550	2016	1980550	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	CU_USD	10451.9	2016	10451.9	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	CU_USD	11083.7	2016	11083.7	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	CU_USD	60590	2016	60590	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	CU_USD	30656.2	2016	30656.2	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	CU_USD	90628.6	2016	90628.6	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	CU_USD					
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CU_USD	6817410	2016	6817410	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CU_USD	5994.43	2016	5994.43	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CU_USD					
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CU_USD	3693.47	2016	3693.47	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CU_USD	3849.5	2016	3849.5	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CU_USD	71236.5	2016	71236.5	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CU_USD	163822	2016	163822	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CU_USD	195390	2016	195390	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CU_USD	3616.17	2016	3616.17	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_EXVAL	Direct disaster economic loss, exposed value	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CU_USD	229400	2016	229400	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
