series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	NUMBER				1				2			1											8	1			1		1	2015	1	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	NUMBER										1																			1999	1	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	NUMBER	5	2	65	8	1	20	10	11	18	4	22	29	14	10	11	3	4	7	12	6									2009	6	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	NUMBER																																
