series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	NUMBER					38	32	14	5	14	99	20	44	18	15	5	7	2	2	16	5	13	13	7	9	9	7		8	2015	7	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	NUMBER														6						180						4		4	2015	4	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	NUMBER						2			3	2										2	8	1	1	4	3			2.66666666666667	2014	3	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	NUMBER	42	123	148	127	36	46	47	53	212	35	143	278	154	235	314	188	121	370	228	407									2009	407	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	NUMBER																				26	2	4							2011	4	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	NUMBER	35	36	189	31	10	5	15	7	182	2	6	21	103	86	85	43	35	78	108	29	43	134	94	11				52.5	2013	11	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	NUMBER											8					3			7		4	1							2011	1	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	NUMBER		34	1	7			1		1	10			7	50	9			138		42	4	2	1	20	22			14.3333333333333	2014	22	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	NUMBER															1				35972		15	282	23	72	91	220	118	104.8	2016	118	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	NUMBER							169			3	388	24	13	11	3	29	29	33	49	177	91	458	192	375	130	101	9	161.4	2016	9	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	NUMBER	44	30	61	60	30	65	29	63	99	147	123	98	90	454	31048	123	173	133	114	60	64	139	142	112	73			109	2014	73	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	NUMBER	189	216	21	117	104	98	45	108	134	79	97	130	97	102	79	127	73	120	79	70	708	42	17	6	26			16.3333333333333	2014	26	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MORT	Number of deaths due to disaster, total (number)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	NUMBER																																
