series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	NUMBER	983	1231	1948				1589.5	2012	1948	National Statistical Office	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	NUMBER	127	142	157	124	117	66	121.2	2015	66	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	NUMBER	254	280	523	480	577	542	480.4	2015	542	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	NUMBER	1	1	0	0	0	0	0.2	2015	0	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	NUMBER	2226.98205345					2414.49655352	2414.49655352	2015	2414.49655352	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	NUMBER	6		10				10	2012	10	Organzation of American States	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	NUMBER	194		202	221	236		219.666666666667	2014	236	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	NUMBER					3227	2837	3032	2015	2837	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	NUMBER	231	248	243	245	243	236	243	2015	236	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	NUMBER	58	75	79	60	42	44	60	2015	44	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	NUMBER	94	127	111				119	2012	111	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	NUMBER	11	7					7	2011	7	National Police	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	NUMBER	3988	3966	4114	4393	4514	4035	4204.4	2015	4035	National Police	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	NUMBER	56	71	65	59	72	74	68.2	2015	74	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	NUMBER	31	27	22	24	25	31	25.8	2015	31	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	NUMBER	189	214	205	205	208	220	210.4	2015	220	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	NUMBER	7	8	6	5	4	4	5.4	2015	4	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	NUMBER	14	22	29	19	21		22.75	2014	21	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	NUMBER	1052	1029	1270				1149.5	2012	1270	National Police	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	NUMBER	56	51	63	46	50	57	53.4	2015	57	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	NUMBER	303	220					220	2011	220	Global Status Report on Violence Prevention	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	NUMBER	43272	48084	53054	54163	57091	55574	53593.2	2015	55574	Anuario Brasileiro de Seguranca Publica	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	NUMBER	129	124	145	99	121		122.25	2014	121	Organzation of American States	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	NUMBER	1			2			2	2013	2	Global Status Report on Violence Prevention	C
