geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	66.02688198	33.83160199	2	AFG	Afghanistan	0	Float		FAO estimates	E
4	2015	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	66.02688198	33.83160199	2	AFG	Afghanistan	0	Float		FAO estimates	E
8	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	20.06660928	41.13897007	6	ALB	Albania	-0.7797	Float		FAO estimates	E
8	2015	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	20.06660928	41.13897007	6	ALB	Albania	-0.6183	Float		FAO estimates	E
10	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2015	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	2.678164227	28.15940032	66	DZA	Algeria	24.8698	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
12	2015	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	2.678164227	28.15940032	66	DZA	Algeria	1.9812	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
16	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	-170.7187269	-14.30587306	12	ASM	American Samoa	-0.9451	Float		FAO estimates	E
16	2015	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	-170.7187269	-14.30587306	12	ASM	American Samoa	-0.9542	Float		FAO estimates	E
20	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	1.576257417	42.54548611	7	AND	Andorra	0	Float		FAO estimates	E
20	2015	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	1.576257417	42.54548611	7	AND	Andorra	0	Float		FAO estimates	E
24	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	17.57817062	-12.33724746	3	AGO	Angola	-1.0558	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
24	2015	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	17.57817062	-12.33724746	3	AGO	Angola	-1.067	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
28	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	0	Float		FAO estimates	E
28	2015	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	0	Float		FAO estimates	E
31	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	50.01064725	40.39229544	19	AZE	Azerbaijan	14.9453	Float		FAO estimates	E
31	2015	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	50.01064725	40.39229544	19	AZE	Azerbaijan	13.0021	Float		FAO estimates	E
32	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	-65.14563274	-35.19446255	10	ARG	Argentina	-5.2673	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
32	2015	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	-65.14563274	-35.19446255	10	ARG	Argentina	-5.1895	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
36	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTCHG	Forest area net change rate	134.3499412	-25.57717202	17	AUS	Australia	-3.4707	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
