geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	66.02688198	33.83160199	2	AFG	Afghanistan					
8	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	20.06660928	41.13897007	6	ALB	Albania	100	Float		FAO estimates	E
8	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	20.06660928	41.13897007	6	ALB	Albania	100	Float		FAO estimates	E
10	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	2.678164227	28.15940032	66	DZA	Algeria	69	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
12	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	2.678164227	28.15940032	66	DZA	Algeria	89	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
16	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2010	ANNUAL	PERCENT	1	2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	-170.7187269	-14.30587306	12	ASM	American Samoa					
