series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	HECTARES	1350	1350	1350	1350	1350	2015	1350	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	HECTARES	788.8	769.3	782.4	776.3	771.5	2015	771.5	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	HECTARES									
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	HECTARES	1667	1579	1536	1918	1956	2015	1956	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	HECTARES	18.388	18.05	17.881	17.712	17.543	2015	17.543	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	HECTARES	16	16	16	16	16	2015	16	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	HECTARES	60976	59728	59104	58480	57856	2015	57856	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	HECTARES	10.3	10	9.8	9.8	9.8	2015	9.8	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	HECTARES	851.8	871.8	877.2	1008.3	1139.4	2015	1139.4	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	HECTARES	34793	31860	30186	28596	27112	2015	27112	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	HECTARES	128541	128841	127641	123211	124751	2015	124751	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	HECTARES	3776	3838	3851	3860	3869	2015	3869	Official submission of country data to FAO Global Forest Resources Assessment	C
