geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	66.02688198	33.83160199	2	AFG	Afghanistan	65223	Float		FAO estimates	E
8	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	20.06660928	41.13897007	6	ALB	Albania	2740	Float		FAO estimates	E
10	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	2.678164227	28.15940032	66	DZA	Algeria	238174	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
16	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	-170.7187269	-14.30587306	12	ASM	American Samoa	20	Float		FAO estimates	E
20	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	1.576257417	42.54548611	7	AND	Andorra	47	Float		FAO estimates	E
24	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	17.57817062	-12.33724746	3	AGO	Angola	124670	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
28	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	44	Float		FAO estimates	E
31	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	50.01064725	40.39229544	19	AZE	Azerbaijan	8265.8	Float		FAO estimates	E
32	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	-65.14563274	-35.19446255	10	ARG	Argentina	273669	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
36	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	134.3499412	-25.57717202	17	AUS	Australia	768230	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
40	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	14.14172472	47.58704857	18	AUT	Austria	8243.5	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
44	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	-78.05111663	24.69546597	27	BHS	Bahamas	1001	Float		FAO estimates	E
48	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	50.5490754	26.04407747	26	BHR	Bahrain	76	Float		FAO estimates	E
50	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	89.17660788	22.86961622	24	BGD	Bangladesh	13017	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
51	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	44.93839317	40.29499741	11	ARM	Armenia	2820	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
52	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	-59.5346489	13.13648273	35	BRB	Barbados	43	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
56	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	4.660976456	50.64104975	21	BEL	Belgium	3027.8	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
