series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	METONS	65223	2015	65223	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	METONS	2740	2015	2740	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	METONS					
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	METONS	238174	2015	238174	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	METONS	20	2015	20	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	METONS	47	2015	47	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	METONS	124670	2015	124670	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	METONS	44	2015	44	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	METONS	8265.8	2015	8265.8	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	METONS	273669	2015	273669	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	METONS	768230	2015	768230	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	METONS	8243.5	2015	8243.5	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	METONS	1001	2015	1001	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	METONS	76	2015	76	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	METONS	13017	2015	13017	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	METONS	2820	2015	2820	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	METONS	43	2015	43	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	METONS	3027.8	2015	3027.8	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	METONS	5	2015	5	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	METONS	3812.105	2015	3812.105	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	METONS	108330	2015	108330	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	METONS	5100	2015	5100	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	METONS	56673	2015	56673	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	METONS					
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	METONS	835814	2015	835814	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	METONS	2281	2015	2281	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	METONS					
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	METONS	2799	2015	2799	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	METONS	15	2015	15	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	METONS	527	2015	527	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	METONS	10856	2015	10856	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	METONS	65755	2015	65755	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	METONS	2568	2015	2568	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	METONS	20748	2015	20748	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	METONS	17652	2015	17652	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	METONS	47271	2015	47271	Official submission of country data to FAO Global Forest Resources Assessment	C
