series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	NOTAP			0.129719	0.436	0.136835	0.080491	0.098083	0.144617	0.173943	0.132371	0.157767	0.169417	0.19715			0.174778	2013	0.19715	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	NOTAP		0.195019	0.142763	0.132863						0.088092	0.08399	0.076369	0.080876	0.078178	0.092147	0.082312	2015	0.092147	Combined IMF and FAO Questionaire. Official country publications.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	NOTAP						0.562021	0.289589	0.789911	0.390584								2009	0.390584	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	NOTAP	0.150331	0.088611	0.10404	0.211613	0.342517	0.324836	0.542546	0.440159	0.134199	0.175316	0.209056	0.164151	0.19365	0.098749	0.107969	0.154715	2015	0.107969	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	NOTAP								0.447297	0.578447	0.538114	0.542184	0.49535	0.462022	0.48374		0.495824	2014	0.48374	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	NOTAP	0.169008	0.055851	0.047589	0.059223	0.055299	0.071842	0.19226	0.368484	0.336605	0.249895	0.121226	0.122135	0.116395	0.072657	0.094394	0.1053614	2015	0.094394	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	NOTAP	0.24232	0.302873	0.314281	0.314584	0.277063	0.500883	0.453689	0.577857	0.367636	0.362962	0.301737	0.324986	0.25312	0.244924	0.237016	0.2723566	2015	0.237016	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	NOTAP	0.507933	0.409827	0.471692	0.564824	0.607171	0.465224	0.471556	0.456929	0.542322	0.432414	0.37563	0.363965	0.478267	0.412822	0.551484	0.4364336	2015	0.551484	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	NOTAP	0.83929	0.648407	0.992477	1.351641	1.273093	1.329458	1.1126	1.114745									2008	1.114745	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	NOTAP	0.199676	0.191069	0.162686	0.165088	0.278874	0.289136	0.325306	0.500498	0.523406			0.554112	0.715239			0.6346755	2013	0.715239	Combined IMF and FAO Questionaire. Official country publications.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	NOTAP									0.245358	0.263086	0.225322	0.121501	0.086269	0.091683	0.140999	0.1331548	2015	0.140999	Combined IMF and FAO Questionaire. Official country publications.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	NOTAP			1.447672		1.395874												2005	1.395874	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	NOTAP	0.199281	0.078343	0.071339	0.068345	0.072803	0.071001	0.05963	0.073635	0.028547	0.029944	0.020649	0.014369	0.0145	0.014724		0.0160605	2014	0.014724	Combined IMF and FAO Questionaire. Official country publications.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	NOTAP	0.274806	0.353892	0.462365	0.420851	0.491287	0.557975	0.615876	0.53404	0.613557	0.654161	0.829879	0.884911	0.845435	0.785662	0.697685	0.8087144	2015	0.697685	Combined IMF and FAO Questionaire. Official country publications.UNSD national account estimates	C
