series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CON_USD	756.146269	1255.576302	1557.613743	1808.587685	1540.803262	1702.273627	2150.644815	1163.26623	2379.130348	1235.611621	1204.107959	1626.5521946	2015	1204.107959		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CON_USD	125.463999	215.07297	39.231417	96.915968	49.480879	185.882369	172.529445	25.320319	65.923231	76.602132	98.280021	87.7310296	2015	98.280021		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CON_USD	90.30989	193.240426	147.286439	31.930778	12.045039	24.352889	31.959379	21.681833	19.180632	23.412833	5.681288	20.383193	2015	5.681288		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CON_USD	16.823749	30.01543	129.391188	69.6249	17.544093	71.9386	16.583629	9.273564	57.718018	18.63396	202.29195	60.9002242	2015	202.29195		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CON_USD	1.999539	0.096946	0.179461	0.411225	11.459259	0.326898	0.82762	0.93346	3.772772	0.468465	11.744997	3.5494628	2015	11.744997		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CON_USD	124.110135	77.859665	124.56674	65.21239	142.56634	87.564744	109.008326	12.289242	13.711495	36.992499	24.123089	39.2249302	2015	24.123089		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CON_USD	40.028942	25.155047	29.570241	13.670137	24.6217	58.764221	22.460095	108.51111	8.928633	10.825322	9.891741	32.1233802	2015	9.891741		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CON_USD	724.42261	547.408513	648.51379	1053.224587	777.109941	1026.520361	1578.780271	959.312129	1454.849153	1606.22176	2424.294128	1604.6914882	2015	2424.294128		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CON_USD	101.848073	314.438235	130.042987	222.583662	162.704207	138.662785	97.064317	125.769961	142.878572	279.922787	242.485452	177.6242178	2015	242.485452		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	CON_USD	38.296459	13.677873	73.870274	22.321156	62.965051	49.734811	32.617578	34.576825	75.887995	58.09922	132.557739	66.7478714	2015	132.557739		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	CON_USD	233.71156	119.034611	253.360718	74.094596	245.192249	294.283552	379.305039	231.132021	209.989708	430.54824	467.83124	343.7612496	2015	467.83124		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	CON_USD	105.672767	182.1662	144.712186	123.803526	193.562198	212.691491	206.160321	200.104197	411.088601	480.098439	72.259222	273.942156	2015	72.259222		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	CON_USD	14.118202	1.925005	8.498124	4.460185	4.723594	16.301949	4.416953	82.521467	3.514997	6.737385	2.68006	19.9741724	2015	2.68006		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CON_USD	45.443708	39.598793	93.076719	49.233354	197.492543	220.536271	224.059751	993.563716	257.377653	682.087895	758.442825	583.106368	2015	758.442825		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CON_USD	8.268222	11.342731	2.860822	10.972086	19.820453	22.706134	7.868382	30.818315	24.624193	9.384988	39.9377	22.5267156	2015	39.9377		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CON_USD	10.83052	46.005067	4.338885	16.709776	6.810847	37.005053	57.497727	27.483305	27.691429	103.435765	61.80567	55.5827792	2015	61.80567		
2017.Q2.G.01	DC_TOF_TRDCML	Total official flows commitments for Aid for Trade, by recipient	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CON_USD																
