series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CON_USD	855.709199	949.388196	1247.928832	1782.445151	1880.425113	1746.766796	1456.060619	1158.098656	827.488887	843.164685	1206.3159286	2015	843.164685		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CON_USD	97.008762	73.867853	85.017992	116.119908	151.51853	151.757651	134.464877	109.154979	88.364944	106.355118	118.0195138	2015	106.355118		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CON_USD	120.45548	100.39221	94.880261	91.378638	38.052472	43.673609	25.913066	32.516247	36.310997	15.431201	30.769024	2015	15.431201		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CON_USD	24.55918	24.829744	43.474898	53.827151	75.222536	37.674781	33.869628	39.696657	23.10857	212.042272	69.2783816	2015	212.042272		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CON_USD	1.788644	0.178607	0.410153	1.636517	4.938433	7.534382	0.471758	0.259778	0.43065	0.58876	1.8570656	2015	0.58876		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CON_USD	67.96365	78.21437	87.393396	106.573326	54.270463	114.259538	147.100598	102.237976	129.343219	23.403871	103.2690404	2015	23.403871		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CON_USD	25.8428	41.227839	25.140452	28.086819	46.537203	23.133799	100.006247	13.146691	19.29747	12.031864	33.5232142	2015	12.031864		
