series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.19468	0.18859	0.21047	0.2028	0.2011	0.18159	0.17076	0.16055	0.14664	0.14408	0.14498	0.14898	0.12359	0.12789	0.14155	0.137398	2014	0.14155	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.1992	0.19509	0.19979	0.19686	0.1924	0.19182	0.19661	0.19985	0.20343	0.21457	0.2101	0.21789	0.22862	0.22884	0.23799	0.224688	2014	0.23799	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.11954	0.12459	0.11969	0.146	0.13804	0.09692	0.10773	0.10273	0.11052	0.12672	0.13368	0.13671	0.1291	0.14049	0.14423	0.136842	2014	0.14423	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.77626	0.6683	0.59678	0.58542	0.52307	0.43819	0.33004	0.23969	0.23353	0.18167	0.16626	0.18676	0.19963	0.19239	0.19715	0.188438	2014	0.19715	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.28394	0.27467	0.29099	0.28758	0.29547	0.27594	0.27036	0.26123	0.2704	0.25836	0.24283	0.23367	0.23744	0.22482	0.23819	0.23539	2014	0.23819	IEA/OECD CO2 emissions from fuel combustion, 2016	C
