series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1995	2000	2005	2007	2009	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	NUMBER							5154.567	2014	5154.567	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	NUMBER			3904.891125	5176.14443	5089.1169633333	4896.7294166667	5316.70575	2014	5316.70575	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	NUMBER	8621.6058	9772.034736	10952.708403	9273.978106	8521.16345	7737.368125	6394.931	2014	6394.931	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	NUMBER	19998.981693	23534.905471	25818.904335	27831.380172	27769.687216	27541.878672	29272.977	2014	29272.977	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	NUMBER							269.856	2014	269.856	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	NUMBER	2305.0189899907	2589.56168042	2793.9160764008	2971.65456	3030.1221900874	3080.2508950984	3213.78	2014	3213.78	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	NUMBER											
