geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	37	Float		DAD-IS 2017 http://dad.fao.org/	C
8	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	20.06660928	41.13897007	6	ALB	Albania	34	Float		DAD-IS 2017 http://dad.fao.org/	C
10	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	2.678164227	28.15940032	66	DZA	Algeria	16	Float		DAD-IS 2017 http://dad.fao.org/	C
16	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	1.576257417	42.54548611	7	AND	Andorra					
24	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	17.57817062	-12.33724746	3	AGO	Angola	18	Float		DAD-IS 2017 http://dad.fao.org/	C
28	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	7	Float		DAD-IS 2017 http://dad.fao.org/	C
31	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	50.01064725	40.39229544	19	AZE	Azerbaijan	29	Float		DAD-IS 2017 http://dad.fao.org/	C
32	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-65.14563274	-35.19446255	10	ARG	Argentina	20	Float		DAD-IS 2017 http://dad.fao.org/	C
36	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	134.3499412	-25.57717202	17	AUS	Australia	118	Float		DAD-IS 2017 http://dad.fao.org/	C
40	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	14.14172472	47.58704857	18	AUT	Austria	1	Float		DAD-IS 2017 http://dad.fao.org/	C
44	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-78.05111663	24.69546597	27	BHS	Bahamas	1	Float		DAD-IS 2017 http://dad.fao.org/	C
48	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	50.5490754	26.04407747	26	BHR	Bahrain	1	Float		DAD-IS 2017 http://dad.fao.org/	C
50	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	89.17660788	22.86961622	24	BGD	Bangladesh	48	Float		DAD-IS 2017 http://dad.fao.org/	C
51	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	44.93839317	40.29499741	11	ARM	Armenia	13	Float		DAD-IS 2017 http://dad.fao.org/	C
52	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-59.5346489	13.13648273	35	BRB	Barbados	6	Float		DAD-IS 2017 http://dad.fao.org/	C
56	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	4.660976456	50.64104975	21	BEL	Belgium	26	Float		DAD-IS 2017 http://dad.fao.org/	C
60	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-64.78155012	32.27881922	32	BMU	Bermuda	2	Float		DAD-IS 2017 http://dad.fao.org/	C
64	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	90.45098484	27.39598568	37	BTN	Bhutan	3	Float		DAD-IS 2017 http://dad.fao.org/	C
68	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	20	Float		DAD-IS 2017 http://dad.fao.org/	C
70	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	19	Float		DAD-IS 2017 http://dad.fao.org/	C
72	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	23.81380223	-22.18810073	39	BWA	Botswana	6	Float		DAD-IS 2017 http://dad.fao.org/	C
74	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	3.410732868	-54.43295905	38	BVT	Bouvet Island					
76	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-53.08432878	-10.77668561	34	BRA	Brazil	92	Float		DAD-IS 2017 http://dad.fao.org/	C
84	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-88.70199554	17.19965901	31	BLZ	Belize	1	Float		DAD-IS 2017 http://dad.fao.org/	C
86	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory					
90	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	160.1584117	-9.622391719	204	SLB	Solomon Islands	8	Float		DAD-IS 2017 http://dad.fao.org/	C
92	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-64.63294223	18.42256578	254	VGB	British Virgin Islands					
96	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	114.6288563	4.49736984	36	BRN	Brunei Darussalam					
100	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	25.23763153	42.75731323	25	BGR	Bulgaria	5	Float		DAD-IS 2017 http://dad.fao.org/	C
104	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	96.51752295	21.19332882	149	MMR	Myanmar	19	Float		DAD-IS 2017 http://dad.fao.org/	C
108	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	29.89080992	-3.366387428	20	BDI	Burundi	3	Float		DAD-IS 2017 http://dad.fao.org/	C
112	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	28.04940161	53.54193075	30	BLR	Belarus	15	Float		DAD-IS 2017 http://dad.fao.org/	C
116	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	104.922836	12.71163737	121	KHM	Cambodia	16	Float		DAD-IS 2017 http://dad.fao.org/	C
120	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	12.7419827	5.692387031	47	CMR	Cameroon	21	Float		DAD-IS 2017 http://dad.fao.org/	C
124	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-101.6575058	57.72360191	41	CAN	Canada	41	Float		DAD-IS 2017 http://dad.fao.org/	C
132	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-23.63544151	15.07791834	53	CPV	Cabo Verde					
136	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-81.16740559	19.32266656	58	CYM	Cayman Islands					
140	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	20.93559492	7.003720791	40	CAF	Central African Republic	9	Float		DAD-IS 2017 http://dad.fao.org/	C
144	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	80.70489654	7.614693343	132	LKA	Sri Lanka	13	Float		DAD-IS 2017 http://dad.fao.org/	C
148	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	18.66618401	15.36279341	222	TCD	Chad	35	Float		DAD-IS 2017 http://dad.fao.org/	C
152	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-71.23029019	-35.2652885	44	CHL	Chile	46	Float		DAD-IS 2017 http://dad.fao.org/	C
156	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	104.1403375	32.30955217	45	CHN	China	556	Float		DAD-IS 2017 http://dad.fao.org/	C
162	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	105.6426067	-10.4882473	57	CXR	Christmas Island					
166	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands					
170	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	-73.07446751	3.888209046	51	COL	Colombia	20	Float		DAD-IS 2017 http://dad.fao.org/	C
174	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	43.34234565	-11.66121732	52	COM	Comoros	7	Float		DAD-IS 2017 http://dad.fao.org/	C
175	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	45.14015057	-12.82217691	160	MYT	Mayotte					
178	2017	ANNUAL	NUMBER	1	2017.Q2.G.01	ER_UNK_LBREDN	Number of local breeds classified as being at unknown level of risk of extinction, total (number)	15.22052612	-0.840544119	49	COG	Congo	3	Float		DAD-IS 2017 http://dad.fao.org/	C
