series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Units	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	ANNUAL	PER_100000_POP	0.01633	0.062562	0.12147	0.214632	0.310664	0.46442	0.545882	0.636486	0.659592	0.732068	0.779999	0.955979	0.7528248	2015	0.955979	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	8	20.06660928	41.13897007	ALB	Albania	1	15+	ANNUAL	PER_100000_POP	4.222203	9.235341	13.81439	19.24198	28.37121	32.56261	33.68426	34.90691	35.43926	35.2002	34.57135	35.09911	35.043366	2015	35.09911	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	12	2.678164227	28.15940032	DZA	Algeria	1	15+	ANNUAL	PER_100000_POP	1.261233	1.496023	2.375364	3.703074	4.184965	5.310394	5.907585	6.084373	6.19587	6.500538	7.491266	8.265656	6.9075406	2015	8.265656	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	20	1.576257417	42.54548611	AND	Andorra	1	15+	ANNUAL	PER_100000_POP																	
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	24	17.57817062	-12.33724746	AGO	Angola	1	15+	ANNUAL	PER_100000_POP	0.946407	1.61192	3.382393	4.915366	6.984767	9.366832	11.71605	14.32656	17.11494	19.14666	20.49139	21.19263	18.454436	2015	21.19263	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	ANNUAL	PER_100000_POP	53.01864	65.9051	64.88213	62.17786	69.1574	71.1305	74.59323	76.43974	78.22607	82.92242	80.19831	77.56615	79.070538	2015	77.56615	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	ANNUAL	PER_100000_POP			17.00431	20.27845	22.62817	24.61058	27.04553	29.90811	31.21332	33.00817	35.08259	35.74882	32.992202	2015	35.74882	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	ANNUAL	PER_100000_POP	21.6929	22.79436	25.40458	28.52222	32.94366	36.87102	41.90759	47.51735	50.92036	56.21087	58.84163	60.55437	54.808916	2015	60.55437	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	36	134.3499412	-25.57717202	AUS	Australia	1	15+	ANNUAL	PER_100000_POP	133.8052	143.4843	147.8672	152.9508	149.5195	154.522	161.1968	166.6004	165.5099	160.4781	160.1378	164.6224	163.46972	2015	164.6224	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	40	14.14172472	47.58704857	AUT	Austria	1	15+	ANNUAL	PER_100000_POP	116.1766	106.807	108.3559	108.633	110.1702	112.3526	112.9342	113.8621	115.7332	117.4176	119.0947	118.3596	116.89344	2015	118.3596	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	44	-78.05111663	24.69546597	BHS	Bahamas	1	15+	ANNUAL	PER_100000_POP	63.58752	64.4998	63.66639	65.55215	66.10809	66.90266	65.82784	76.06855	74.50874	104.3725	110.5104	112.1102	95.514078	2015	112.1102	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2017.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	48	50.5490754	26.04407747	BHR	Bahrain	1	15+	ANNUAL	PER_100000_POP																	
