series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT								0.09	0.15									2008	0.15		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT		0.23	0.37	0.2	0.16	0.07												2005	0.07		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT	0.34	0.34	0.3	0.32	0.3	0.22	0.17	0.17	0.17	0.25	0.22	0.21	0.22	0.21	0.21		0.2125	2014	0.21		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT	0.44	0.42	0.39	0.41	0.37	0.38	0.4	0.4	0.42	0.52	0.52	0.54	0.61	0.61			0.586666666666667	2013	0.61		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT	1.58		1.75		1.85		2.18		2.4		2.38	2.25		2.2			2.225	2013	2.2		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT	1.89	2	2.07	2.18	2.17	2.38	2.37	2.43	2.59	2.61	2.74	2.68	2.89	2.96	2.99	3	2.904	2015	3		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT															0.1		0.1	2014	0.1		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT	0.18	0.28	0.25	0.24	0.21	0.26	0.24	0.21	0.22	0.29	0.24	0.27	0.24	0.22	0.24		0.2425	2014	0.24		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PERCENT	1.92	2.02	1.89	1.83	1.81	1.78	1.81	1.84	1.92	1.99	2.05	2.16	2.36	2.43	2.46		2.3525	2014	2.46		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT								0.21	0.21	0.22	0.22	0.26	0.23	0.23	0.22		0.235	2014	0.22		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT	0.29	0.29	0.28							0.16								2009	0.16		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT				0.02	0.02	0.03	0.02	0.03	0.02	0.02			0.27	0.33	0.26		0.286666666666667	2014	0.26		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT						0.53							0.25				0.25	2012	0.25		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT	1	1.03	0.98	1	0.96	1	0.99	1.08	1.13	1.12	1.16	1.14	1.15	1.24			1.17666666666667	2013	1.24		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT			0.02	0.02	0.04													2004	0.04		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT	0.5	0.45	0.47	0.47	0.47	0.44	0.44	0.43	0.45	0.5	0.57	0.54	0.61	0.64	0.8		0.6475	2014	0.8		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT	0.11	0.07	0.16															2002	0.16		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT								0.2	0.15	0.14	0.14	0.12					0.12	2011	0.12		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT	0.72	0.71	0.62	0.61	0.63	0.68	0.66	0.96	0.74	0.64	0.69	0.7	0.67	0.67			0.68	2013	0.67		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT			0.05															2002	0.05		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT	1.87	2.04	1.99	1.99	2.01	1.99	1.96	1.92	1.87	1.92	1.84	1.8	1.79	1.69	1.61		1.7225	2014	1.61		C
