series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0	0	0	2015	0	ITU estimate
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0	35	17.5	2015	35	Minister of State for the Innovation and Public Administration
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP						
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0	0	0	2015	0	Ministère de la  Poste et des Technologies de l'Information et de la Communication
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0	0	0	2015	0	ITU estimate
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		50	50	2015	50	Andorra Telecom SAU
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	53	7	30	2015	7	Angolan Institute of Communications
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	80	98	89	2015	98	ITU estimate
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	49	50	49.5	2015	50	Ministry of Communications and High Technologies (MC&HT)
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0	65	32.5	2015	65	ITU estimate.
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	95	94	94.5	2015	94	Department of Communications and the Arts
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	40	14.14172472	47.58704857	AUT	Austria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	85	98	91.5	2015	98	ITU estimate.
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	35	95	65	2015	95	Utilities Regulation and Competition Authority
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	95.6	95.6	95.6	2015	95.6	Telecommunications Regulatory Authority
2017.Q2.G.01	IT_MOB_4GNTWK	Proportion of population covered by at least a 4G mobile network	50	89.17660788	22.86961622	BGD	Bangladesh	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	59	65	62	2015	65	Bangladesh Telecommunication Regulatory Commission
