series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP					200	220	500	500	500	1000	1500		1500	1500	1500	169523	43505.75	2015	169523	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP						272		10000	64000	92000	105539	128210	160088	182556	207931	242870	184331	2015	242870	Minister of State for the Innovation and Public Administration	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																					
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP				18000	36000	135000	170000	287039	485000	818000	9e+05	980752	1154748	1280000	1599692	2269348	1456908	2015	2269348	Ministère de la  Poste et des Technologies de l'Information et de la Communication	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																					
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP			1148	3601	6282	10341	14616	18526	20672	22941	24502	25763	26905	27734	28770	30694	27973.2	2015	30694	Andorra Telecom SAU	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP							7458	11700	15942	15000	15000	15817	20512	22282	67750	153571	55986.4	2015	153571	Angolan Institute of Communications	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP					1662	5801	1541	2266	4986	16014	7119	6000	13070	15647	10754	12000	11494.2	2015	12000	ITU estimate.	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP			1000			2184	3955	14600	60000	1e+05	475295	973869	1369594	1712177	1898070	1899456	1570633.2	2015	1899456	Ministry of Communications and High Technologies (MC&HT)	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		94000	148000	258849	542879	926722	1583713	2600000	3114741	3511026	4028238	4572023	5148583	6251020	6509458	6855837	5867384.2	2015	6855837	Ente Nacional de Comunicaciones	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		122800	258100	516800	1012000	2016000	3900000		5315000	5221000	5510000	5552000	5735000	5981000	6536000	6828000	6126400	2015	6828000	Department of Communications and the Arts	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	40	14.14172472	47.58704857	AUT	Austria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	190500	320600	451000	601000	870000	1174000	1432000	1622000	1729000	1878524	2050400	2097700	2130200	2232500	2359000	2455500	2254980	2015	2455500	Austrian Regulatory Authority for Broadcasting and Telecommunications	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		4139	7540	10941	12803	13382	16591	20500	25500	31589	24702	15496			77168	81018	57894	2015	81018	Utilities Regulation and Competition Authority	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		1176	4980	9737	14956	21432	38628	68253	93618	139513	154912	291521	295387	300056	287572	253041	285515.4	2015	253041	Telecommunications Regulatory Authority	
