series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT	17.1923482652642	19.6959821985403	17.2746377081191	16.5529366330174	16.8454681734126	15.8306389221319	14.9653893071049	12.2950755058239	13.4774227497142	12.106065328385	12.1767294734768	11.5467260046019	11.1706784657643	10.6266512495012	10.1440947731945	10.3155950011155	10.4156833600722	10.5345405699295	2016	10.4156833600722	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT	3.29778208939424	3.30301705926306	3.26866040486948	3.87477317578347	4.33651981777284	4.9700995364242	5.60772212857598	6.10945375019379	5.73855504177771	5.71011621227687	6.0618317680841	6.64697351336965	6.20742320777484	5.89618158363643	5.96244492389596	5.98241178160438	6.02131236772014	6.01395477292635	2016	6.02131236772014	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																						
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT	4.1735329073223	4.22243135684196	4.21104092050575	3.99320150655732	3.9206508684098	3.7779400633715	3.81302500406273	3.77216887418245	3.92541546638798	4.215259122893	4.17978631987578	4.21967807121765	4.25550938284266	4.78059595434087	5.57676967048772	5.50139115186507	5.43221571236368	5.10929637438	2016	5.43221571236368	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																						
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT	3.74892726372933	3.45735355341155	3.45717315556047	3.53681413897691	3.57654238435457	3.34038188601375	3.3200111583457	3.29262094020788	3.42304521648543	3.32361132238677	3.61064307121542	3.53318669786399	3.28584593979866	3.16420537635226	3.3277459963428			3.25926577083124	2014	3.3277459963428	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT	4.27429974459859	4.46362661955885	4.23620986345304	4.19930193462364	4.41212027326014	4.07062635130832	3.88818501559595	3.47938727310521	3.31502966918002	3.47353321057264	3.99678679447318	4.32275021857875	4.44795542618062	4.80763600038106	4.86855676234004	5.0222847385853	5.30138969411044	4.88956452431949	2016	5.30138969411044	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT	1.93752562901143	2.03937183648364	2.08642392362256	1.99905656742435	1.98994187536015	1.96730413986674	1.9508112138381	1.94431263092231	1.76558695798611	2.22017705181284	2.18137222872218	2.2815120044895	1.85927923144047	2.18962545537367	2.17304327420433	2.14484545657871	2.11734828848927	2.09682834121729	2016	2.11734828848927	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT	9.60139008183089	9.09316570159315	8.98982011798208	9.30014327835743	9.40513431162584	8.5474307941299	6.92938263300652	6.08688196941328	5.89421410711501	4.71116064182687	4.80819498327559	5.24824288399285	5.41304155600565	5.22067656141999	5.29622664429011	5.13436193728058	5.02070462082932	5.21700226396513	2016	5.02070462082932	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT	14.6115062606292	14.1670137392167	14.1551874765493	15.0986313333523	15.4979477783427	15.4941718854211	15.6721047888213	15.7048734919635	15.7281181517953	15.4821146524942	15.7788164365591	16.2124763839448	15.8059117190517	15.4156965776143	15.1725429192047	15.0034952267997	14.6472308708991	15.2089754627139	2016	14.6472308708991	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT	9.37823365018401	9.24185208931712	9.32596466702697	9.07313114670537	8.71690931462766	8.43543767818973	8.29102062298853	8.31004051990045	7.74005140250403	7.61820906568768	7.43970512325581	7.16823224966791	6.91315145545324	6.62877623899402	6.90262857625553	6.72933291599098	6.57085226738691	6.74894829081614	2016	6.57085226738691	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT	16.3395761698087	16.5716188306252	16.052068720213	16.0358286701963	16.0916126601399	16.4212042174359	17.1503268206788	17.8283979935968	17.7269577100397	15.715815685761	16.6344621384615	17.2602869481553	17.5222601547319	17.3988040533356	17.5711922387692	17.3869476253159	17.3278964626536	17.4414201069612	2016	17.3278964626536	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT	4.05410559815156	3.43067588994978	3.11422668927603	4.0575628105579	4.40934268592551	4.02488490179309	4.34829562725864	3.74620677462018	3.55512913712506	3.48777894254353	3.7469098751492	3.73424469539091	3.88559311004682	3.51638889377924	3.50524313891305	3.47045960978482	3.45627690297078	3.56679233109894	2016	3.45627690297078	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT	12.4307857370853	12.5615410191465	12.7039592437486	12.4067226883222	12.8647157784264	13.9872322405792	14.5687542930344	14.1759506120336	14.2559091852254	14.559747720944	14.4822823341465	14.6257955640777	14.7779745211472	14.4660380771914	14.4296778424302	14.4741703327384	14.50053630779	14.5296794162594	2016	14.50053630779	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANF	Manufacturing value added share in GDP at constant 2010 United States dollars	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT	13.4853245430458	13.6659608956975	13.8057652833977	14.0015102465222	14.1101823724886	14.4079087285248	14.9668671001269	15.4528881188389	15.6449428656803	15.8904230026411	16.0522248	16.5873376326893	17.1220327493443	17.8154245680059	18.2699100341998	18.7557279124791	19.2638989838139	18.2453988495686	2016	19.2638989838139	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
