series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	BOTHSEX	PERCENT																						
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	MALE	PERCENT																						
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	4	66.02688198	33.83160199	AFG	Afghanistan	3	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	BOTHSEX	PERCENT	54.3529	56.85377		64.20399	61.61501				68.55723	76.98564	79.98986	86.62876	93.30296			92.93923		93.121095	2015	92.93923	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	MALE	PERCENT		53.36702		62.22858	60.78691				69.24646	77.16921	81.28293	87.66291	94.44087			94.02995		94.23541	2015	94.02995	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	8	20.06660928	41.13897007	ALB	Albania	3	ANNUAL	FEMALE	PERCENT		60.57667		66.33539	62.50752				67.81483	76.78682	78.58059	85.49664	92.05464			91.76551		91.910075	2015	91.76551	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	BOTHSEX	PERCENT																						
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	MALE	PERCENT																						
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	10	21.47585697	-80.40897662	ATA	Antarctica	3	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	BOTHSEX	PERCENT				8.64172	11.27063	13.29716	33.9689		43.3735		88.97008								2010	88.97008	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	12	2.678164227	28.15940032	DZA	Algeria	2	ANNUAL	MALE	PERCENT				8.7066	11.23109	13.74176	34.16649		44.67677		91.63845								2010	91.63845	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	12	2.678164227	28.15940032	DZA	Algeria	3	ANNUAL	FEMALE	PERCENT				8.57405	11.31188	12.83353	33.76314		42.02126		86.21253								2010	86.21253	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	BOTHSEX	PERCENT																						
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ANNUAL	MALE	PERCENT																						
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	ANNUAL	FEMALE	PERCENT																						
2017.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	BOTHSEX	PERCENT																						
