series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2005	2010	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_INT_VRTIBRD	Proportion of voting rights of developing countries in the International Bank for Reconstruction and Development	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.034171296359576	0.033978702149493	0.03392389697991	0.043039576580702	0.05	0.046519788290351	2016	0.05	International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016	G
2017.Q2.G.01	SG_INT_VRTIBRD	Proportion of voting rights of developing countries in the International Bank for Reconstruction and Development	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.067100000124259	0.066721815129913	0.066614197706004	0.066925414892505	0.07	0.0684627074462525	2016	0.07	International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016	G
2017.Q2.G.01	SG_INT_VRTIBRD	Proportion of voting rights of developing countries in the International Bank for Reconstruction and Development	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTIBRD	Proportion of voting rights of developing countries in the International Bank for Reconstruction and Development	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.590355741833992	0.587028414226327	0.586081580187457	0.532789397211576	0.54	0.536394698605788	2016	0.54	International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016	G
2017.Q2.G.01	SG_INT_VRTIBRD	Proportion of voting rights of developing countries in the International Bank for Reconstruction and Development	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTIBRD	Proportion of voting rights of developing countries in the International Bank for Reconstruction and Development	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTIBRD	Proportion of voting rights of developing countries in the International Bank for Reconstruction and Development	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.181791296632947	0.180766695435301	0.180475131933119	0.150120240408709	0.16	0.155060120204355	2016	0.16	International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016	G
2017.Q2.G.01	SG_INT_VRTIBRD	Proportion of voting rights of developing countries in the International Bank for Reconstruction and Development	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.047839814903407	0.04757018300929	0.047493455771874	0.052954452861073	0.05	0.0514772264305365	2016	0.05	International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016	G
2017.Q2.G.01	SG_INT_VRTIBRD	Proportion of voting rights of developing countries in the International Bank for Reconstruction and Development	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.117797777995922	0.117133853228069	0.116944924861652	0.10370059236879	0.11	0.106850296184395	2016	0.11	International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016	G
2017.Q2.G.01	SG_INT_VRTIBRD	Proportion of voting rights of developing countries in the International Bank for Reconstruction and Development	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1.12833620579321	1.12197674497625	1.12016707827662	0.848848612458132	0.82	0.834424306229066	2016	0.82	International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016	G
