geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2012	ANNUAL	PER_100000_POP	1	2017.Q2.G.01	SH_AAP_ASMORT	Age-standardized mortality rate attributed to ambient air pollution, total (deaths per 100,000 population)	66.02688198	33.83160199	2	AFG	Afghanistan	80.940552	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
8	2012	ANNUAL	PER_100000_POP	1	2017.Q2.G.01	SH_AAP_ASMORT	Age-standardized mortality rate attributed to ambient air pollution, total (deaths per 100,000 population)	20.06660928	41.13897007	6	ALB	Albania	46.885342	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
10	2012	ANNUAL	PER_100000_POP	1	2017.Q2.G.01	SH_AAP_ASMORT	Age-standardized mortality rate attributed to ambient air pollution, total (deaths per 100,000 population)	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2012	ANNUAL	PER_100000_POP	1	2017.Q2.G.01	SH_AAP_ASMORT	Age-standardized mortality rate attributed to ambient air pollution, total (deaths per 100,000 population)	2.678164227	28.15940032	66	DZA	Algeria	40.624538	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
16	2012	ANNUAL	PER_100000_POP	1	2017.Q2.G.01	SH_AAP_ASMORT	Age-standardized mortality rate attributed to ambient air pollution, total (deaths per 100,000 population)	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2012	ANNUAL	PER_100000_POP	1	2017.Q2.G.01	SH_AAP_ASMORT	Age-standardized mortality rate attributed to ambient air pollution, total (deaths per 100,000 population)	1.576257417	42.54548611	7	AND	Andorra	11.827252	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
24	2012	ANNUAL	PER_100000_POP	1	2017.Q2.G.01	SH_AAP_ASMORT	Age-standardized mortality rate attributed to ambient air pollution, total (deaths per 100,000 population)	17.57817062	-12.33724746	3	AGO	Angola	51.359486	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
28	2012	ANNUAL	PER_100000_POP	1	2017.Q2.G.01	SH_AAP_ASMORT	Age-standardized mortality rate attributed to ambient air pollution, total (deaths per 100,000 population)	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	20.195124	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
31	2012	ANNUAL	PER_100000_POP	1	2017.Q2.G.01	SH_AAP_ASMORT	Age-standardized mortality rate attributed to ambient air pollution, total (deaths per 100,000 population)	50.01064725	40.39229544	19	AZE	Azerbaijan	56.593773	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
32	2012	ANNUAL	PER_100000_POP	1	2017.Q2.G.01	SH_AAP_ASMORT	Age-standardized mortality rate attributed to ambient air pollution, total (deaths per 100,000 population)	-65.14563274	-35.19446255	10	ARG	Argentina	18.269077	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
