series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	4	66.02688198	33.83160199	AFG	Afghanistan	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	3.708	4.544	5.29	6.315	2015	6.315	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	4	66.02688198	33.83160199	AFG	Afghanistan	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	3.54	4.353	4.968	5.915	2015	5.915	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	4	66.02688198	33.83160199	AFG	Afghanistan	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	7.248	8.897	10.258	12.23	2015	12.23	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	8	20.06660928	41.13897007	ALB	Albania	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	0.924	1.071	1.104	1.114	2015	1.114	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	8	20.06660928	41.13897007	ALB	Albania	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	1.219	1.349	1.372	1.47	2015	1.47	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	8	20.06660928	41.13897007	ALB	Albania	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	2.142	2.42	2.476	2.585	2015	2.585	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	10	21.47585697	-80.40897662	ATA	Antarctica	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	10	21.47585697	-80.40897662	ATA	Antarctica	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	10	21.47585697	-80.40897662	ATA	Antarctica	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	12	2.678164227	28.15940032	DZA	Algeria	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	5.08	5.988	6.755	8.027	2015	8.027	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	12	2.678164227	28.15940032	DZA	Algeria	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	4.708	5.418	6.028	7.411	2015	7.411	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	12	2.678164227	28.15940032	DZA	Algeria	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	9.788	11.406	12.783	15.439	2015	15.439	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	16	-170.7187269	-14.30587306	ASM	American Samoa	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	16	-170.7187269	-14.30587306	ASM	American Samoa	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	16	-170.7187269	-14.30587306	ASM	American Samoa	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	20	1.576257417	42.54548611	AND	Andorra	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	20	1.576257417	42.54548611	AND	Andorra	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	20	1.576257417	42.54548611	AND	Andorra	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP								
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	24	17.57817062	-12.33724746	AGO	Angola	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1.987	2.319	2.777	3.273	2015	3.273	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	24	17.57817062	-12.33724746	AGO	Angola	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	1.22	1.425	1.737	2.157	2015	2.157	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	24	17.57817062	-12.33724746	AGO	Angola	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3.207	3.744	4.515	5.429	2015	5.429	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	0.018	0.021	0.024	0.025	2015	0.025	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	CA
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	0.014	0.019	0.019	0.02	2015	0.02	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	CA
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	0.032	0.04	0.043	0.046	2015	0.046	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	CA
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	31	50.01064725	40.39229544	AZE	Azerbaijan	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	2.104	2.402	2.471	2.861	2015	2.861	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	31	50.01064725	40.39229544	AZE	Azerbaijan	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	2.752	2.922	3.076	3.815	2015	3.815	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	31	50.01064725	40.39229544	AZE	Azerbaijan	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	4.856	5.324	5.547	6.676	2015	6.676	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	32	-65.14563274	-35.19446255	ARG	Argentina	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	12.245	12.709	13.783	14.628	2015	14.628	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	32	-65.14563274	-35.19446255	ARG	Argentina	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	14.989	14.975	15.756	17.157	2015	17.157	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	32	-65.14563274	-35.19446255	ARG	Argentina	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	27.234	27.684	29.54	31.785	2015	31.785	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	36	134.3499412	-25.57717202	AUS	Australia	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	5.936	6.326	6.576	6.986	2015	6.986	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	CA
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	36	134.3499412	-25.57717202	AUS	Australia	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	7.833	8.107	8.569	8.718	2015	8.718	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	CA
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	36	134.3499412	-25.57717202	AUS	Australia	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	13.769	14.433	15.145	15.704	2015	15.704	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	CA
2017.Q2.G.01	SH_DTH_CANCER	Number of deaths attributed to cancer	40	14.14172472	47.58704857	AUT	Austria	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	3.02	3.082	3.224	3.25	2015	3.25	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	CA
