series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	4	66.02688198	33.83160199	AFG	Afghanistan	1	30-70	ANNUAL	ALLAREA	MALE	PROBABILITY	MP	35.130500793457	34.490537643433	32.859891653061	31.722062826157	2015	31.722062826157	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	4	66.02688198	33.83160199	AFG	Afghanistan	2	30-70	ANNUAL	ALLAREA	BOTHSEX	PROBABILITY	MP	34.155344963074	33.648484945297	32.184338569641	31.042075157166	2015	31.042075157166	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	4	66.02688198	33.83160199	AFG	Afghanistan	3	30-70	ANNUAL	ALLAREA	FEMALE	PROBABILITY	MP	33.236294984818	32.848781347275	31.590414047241	30.443638563156	2015	30.443638563156	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	8	20.06660928	41.13897007	ALB	Albania	1	30-70	ANNUAL	ALLAREA	MALE	PROBABILITY	MP	24.862658977509	24.089056253433	19.97857093811	17.824983596802	2015	17.824983596802	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	8	20.06660928	41.13897007	ALB	Albania	2	30-70	ANNUAL	ALLAREA	BOTHSEX	PROBABILITY	MP	20.030009746552	19.713747501373	16.383808851242	14.694553613663	2015	14.694553613663	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	8	20.06660928	41.13897007	ALB	Albania	3	30-70	ANNUAL	ALLAREA	FEMALE	PROBABILITY	MP	14.217734336853	14.54519033432	12.515932321548	11.515831947327	2015	11.515831947327	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	10	21.47585697	-80.40897662	ATA	Antarctica	1	30-70	ANNUAL	ALLAREA	MALE	PROBABILITY	MP								
2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	10	21.47585697	-80.40897662	ATA	Antarctica	2	30-70	ANNUAL	ALLAREA	BOTHSEX	PROBABILITY	MP								
2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	10	21.47585697	-80.40897662	ATA	Antarctica	3	30-70	ANNUAL	ALLAREA	FEMALE	PROBABILITY	MP								
2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	12	2.678164227	28.15940032	DZA	Algeria	1	30-70	ANNUAL	ALLAREA	MALE	PROBABILITY	MP	21.709835529327	19.62012052536	17.536783218384	16.87046289444	2015	16.87046289444	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	12	2.678164227	28.15940032	DZA	Algeria	2	30-70	ANNUAL	ALLAREA	BOTHSEX	PROBABILITY	MP	19.529074430466	17.797702550888	15.818971395493	14.976513385773	2015	14.976513385773	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
