series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	<1Y	ANNUAL	NUMBER	89393	89702	90059	90292	89873	88704	88007	86945	85513	83723	81775	78764	75586	72378	69579	67399	72741.2	2015	67399	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	8	20.06660928	41.13897007	ALB	Albania	1	<1Y	ANNUAL	NUMBER	1205	1096	990	893	805	726	649	584	529	496	483	490	513	540	561	564	533.6	2015	564	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	12	2.678164227	28.15940032	DZA	Algeria	1	<1Y	ANNUAL	NUMBER	19289	18771	18475	18427	18619	18959	19565	20269	20972	21491	21820	21805	21801	21619	21375	20899	21499.8	2015	20899	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	<1Y	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	20	1.576257417	42.54548611	AND	Andorra	1	<1Y	ANNUAL	NUMBER	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2015	2	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	24	17.57817062	-12.33724746	AGO	Angola	1	<1Y	ANNUAL	NUMBER	94432	96091	98109	100333	102676	104649	106123	107035	107705	108082	108137	107441	106694	105861	105154	104291	105888.2	2015	104291	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	<1Y	ANNUAL	NUMBER	22	21	20	19	17	16	15	14	13	12	11	11	10	9	9	9	9.6	2015	9	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	<1Y	ANNUAL	NUMBER	7545	6878	6412	6107	5906	5754	5605	5482	5413	5446	5597	5903	6282	6600	6706	6519	6402	2015	6519	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	<1Y	ANNUAL	NUMBER	12458	12359	12274	12207	12001	11602	11067	10597	10165	9834	9495	9315	9114	8931	8723	8464	8909.4	2015	8464	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	36	134.3499412	-25.57717202	AUS	Australia	1	<1Y	ANNUAL	NUMBER	1244	1210	1209	1193	1216	1227	1249	1256	1289	1279	1276	1186	1110	1027	954	896	1034.6	2015	896	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	40	14.14172472	47.58704857	AUT	Austria	1	<1Y	ANNUAL	NUMBER	334	323	323	328	324	323	325	305	300	288	278	264	260	257	244	239	252.8	2015	239	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_IMRTN	Infant deaths, total (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	<1Y	ANNUAL	NUMBER	66	65	65	67	70	72	73	73	73	73	71	69	67	63	60	57	63.2	2015	57	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
