geoAreaCode	years	Age	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source
4	2000	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	125616	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2001	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	126356	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2002	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	126889	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2003	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	127140	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2004	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	126497	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2005	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	124798	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2006	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	123720	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2007	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	121973	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2008	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	119855	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2009	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	117253	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2010	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	114576	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2011	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	110628	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2012	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	106217	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2013	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	101766	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2014	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	97692	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2015	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	66.02688198	33.83160199	2	AFG	Afghanistan	94261	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2000	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	1380	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2001	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	1252	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2002	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	1128	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2003	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	1019	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2004	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	918	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2005	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	823	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2006	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	737	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2007	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	662	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2008	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	598	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2009	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	559	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2010	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	540	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2011	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	543	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2012	<5Y	ANNUAL	NUMBER	1	2017.Q2.G.01	SH_DYN_MORTN	Under-five deaths, total (number)	20.06660928	41.13897007	6	ALB	Albania	567	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
