series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	4	66.02688198	33.83160199	AFG	Afghanistan	1	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	137	133.8	130.3	126.8	123.2	119.6	116.3	113.2	110.4	107.6	105	102.3	99.5	96.7	93.9	91.1	96.7	2015	91.1	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	4	66.02688198	33.83160199	AFG	Afghanistan	2	<5Y	ANNUAL	FEMALE	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	4	66.02688198	33.83160199	AFG	Afghanistan	3	<5Y	ANNUAL	MALE	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	8	20.06660928	41.13897007	ALB	Albania	1	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	26.2	24.9	23.6	22.5	21.5	20.5	19.5	18.7	17.9	17.3	16.6	16	15.5	14.9	14.4	14	14.96	2015	14	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	8	20.06660928	41.13897007	ALB	Albania	2	<5Y	ANNUAL	FEMALE	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	8	20.06660928	41.13897007	ALB	Albania	3	<5Y	ANNUAL	MALE	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	10	21.47585697	-80.40897662	ATA	Antarctica	1	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	10	21.47585697	-80.40897662	ATA	Antarctica	2	<5Y	ANNUAL	FEMALE	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	10	21.47585697	-80.40897662	ATA	Antarctica	3	<5Y	ANNUAL	MALE	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	12	2.678164227	28.15940032	DZA	Algeria	1	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	39.7	38.9	37.8	36.5	35.1	33.6	32.1	30.7	29.4	28.3	27.3	26.6	26.1	25.8	25.6	25.5	25.92	2015	25.5	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	12	2.678164227	28.15940032	DZA	Algeria	2	<5Y	ANNUAL	FEMALE	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	12	2.678164227	28.15940032	DZA	Algeria	3	<5Y	ANNUAL	MALE	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	<5Y	ANNUAL	FEMALE	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	<5Y	ANNUAL	MALE	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	20	1.576257417	42.54548611	AND	Andorra	1	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	4.6	4.4	4.2	4.1	4	3.9	3.7	3.6	3.5	3.4	3.3	3.2	3.1	3	2.9	2.8	3	2015	2.8	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	20	1.576257417	42.54548611	AND	Andorra	2	<5Y	ANNUAL	FEMALE	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	20	1.576257417	42.54548611	AND	Andorra	3	<5Y	ANNUAL	MALE	PER_1000_LIVE_BIRTHS																					
