series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	4	66.02688198	33.83160199	AFG	Afghanistan	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	45.2	44.5	43.9	43.2	42.5	41.7	41	40.4	39.8	39.1	38.7	38.1	37.4	36.8	36.1	35.5	36.78	2015	35.5	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	8	20.06660928	41.13897007	ALB	Albania	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	11.3	11	10.7	10.3	9.8	9.4	8.9	8.5	8.2	7.9	7.5	7.2	7	6.8	6.5	6.2	6.74	2015	6.2	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	10	21.47585697	-80.40897662	ATA	Antarctica	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	12	2.678164227	28.15940032	DZA	Algeria	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	21	20.9	20.7	20.4	20	19.5	18.8	18.2	17.5	17	16.5	16.2	15.9	15.7	15.6	15.5	15.78	2015	15.5	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS																					
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	20	1.576257417	42.54548611	AND	Andorra	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	2.2	2.1	2.1	2	2	1.9	1.9	1.8	1.8	1.7	1.7	1.6	1.6	1.5	1.5	1.4	1.52	2015	1.4	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	24	17.57817062	-12.33724746	AGO	Angola	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	58.4	58.2	57.5	57.2	56.7	56.1	55.5	55	54.1	53.4	52.6	51.9	51.1	50.4	49.6	48.7	50.34	2015	48.7	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	9.4	9	8.6	8.2	7.9	7.5	7.2	6.9	6.6	6.3	6	5.8	5.5	5.3	5.1	4.9	5.32	2015	4.9	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	33.4	32.1	30.6	29.2	27.8	26.6	25.4	24.4	23.4	22.5	21.7	21	20.4	19.7	18.9	18.2	19.64	2015	18.2	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
2017.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate, total (deaths per 1,000 live births)	32	-65.14563274	-35.19446255	ARG	Argentina	1	<1M	ANNUAL	PER_1000_LIVE_BIRTHS	11.3	11.1	10.6	10	9.5	9.2	8.8	8.5	8.1	7.8	7.5	7.2	7	6.8	6.5	6.3	6.76	2015	6.3	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
