series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	ANNUAL	BOTHSEX	PERCENT	82.53	82.45	82.48	82.57	82.43	82.56	82.47	82.49	82.42	82.79	82.77	82.81	83.01	82.98	82.96	82.93	82.87	82.95	2016	82.87	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	25+	ANNUAL	BOTHSEX	PERCENT	81.82	81.74	81.76	81.83	81.7	81.81	81.74	81.76	81.71	82.07	82.06	82.11	82.28	82.23	82.2	82.16	82.09	82.192	2016	82.09	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	15-24	ANNUAL	BOTHSEX	PERCENT	84.31	84.24	84.27	84.37	84.24	84.39	84.3	84.33	84.26	84.65	84.63	84.61	84.82	84.82	84.83	84.84	84.81	84.824	2016	84.81	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	4	25+	ANNUAL	MALE	PERCENT	81.03	80.94	80.97	81.04	80.89	81	80.93	80.95	80.88	81.24	81.22	81.24	81.4	81.34	81.29	81.24	81.17	81.288	2016	81.17	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	5	15+	ANNUAL	MALE	PERCENT	81.77	81.69	81.72	81.8	81.64	81.78	81.68	81.7	81.62	82	81.96	82.01	82.19	82.14	82.09	82.06	81.99	82.094	2016	81.99	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	6	15-24	ANNUAL	MALE	PERCENT	83.72	83.63	83.66	83.76	83.6	83.76	83.67	83.71	83.62	84.04	83.99	84.01	84.22	84.18	84.17	84.16	84.13	84.172	2016	84.13	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	7	25+	ANNUAL	FEMALE	PERCENT	87.14	87.05	87.05	87.1	86.94	87.04	86.97	87.02	86.94	87.28	87.21	87.08	87.2	87.11	87.06	87.04	86.99	87.08	2016	86.99	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	8	15-24	ANNUAL	FEMALE	PERCENT	87.46	87.38	87.38	87.45	87.3	87.42	87.35	87.4	87.34	87.69	87.65	87.61	87.77	87.67	87.65	87.66	87.64	87.678	2016	87.64	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	9	15+	ANNUAL	FEMALE	PERCENT	87.24	87.16	87.16	87.22	87.06	87.17	87.1	87.14	87.07	87.41	87.35	87.25	87.37	87.29	87.25	87.25	87.2	87.272	2016	87.2	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	8	20.06660928	41.13897007	ALB	Albania	1	15+	ANNUAL	BOTHSEX	PERCENT	0.68	0.6	0.7	0.65	0.58	0.53	0.49	0.42	0.41	0.38	0.37	0.34	0.32	0.28	0.26	0.26	0.25	0.274	2016	0.25	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	8	20.06660928	41.13897007	ALB	Albania	2	25+	ANNUAL	BOTHSEX	PERCENT	0.52	0.45	0.52	0.46	0.42	0.39	0.38	0.32	0.34	0.32	0.29	0.26	0.25	0.21	0.2	0.2	0.2	0.212	2016	0.2	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	8	20.06660928	41.13897007	ALB	Albania	3	15-24	ANNUAL	BOTHSEX	PERCENT	1.44	1.36	1.53	1.49	1.35	1.23	1.08	1.02	0.84	0.78	0.85	0.83	0.8	0.73	0.66	0.67	0.67	0.706	2016	0.67	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	8	20.06660928	41.13897007	ALB	Albania	4	25+	ANNUAL	MALE	PERCENT	0.58	0.47	0.57	0.49	0.44	0.38	0.37	0.28	0.32	0.29	0.24	0.18	0.16	0.1	0.08	0.08	0.08	0.1	2016	0.08	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	8	20.06660928	41.13897007	ALB	Albania	5	15+	ANNUAL	MALE	PERCENT	0.58	0.46	0.59	0.52	0.46	0.4	0.38	0.29	0.32	0.3	0.25	0.2	0.18	0.13	0.1	0.11	0.11	0.126	2016	0.11	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	8	20.06660928	41.13897007	ALB	Albania	6	15-24	ANNUAL	MALE	PERCENT	0.61	0.43	0.7	0.65	0.57	0.5	0.45	0.39	0.35	0.33	0.36	0.36	0.32	0.32	0.28	0.29	0.3	0.302	2016	0.3	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	8	20.06660928	41.13897007	ALB	Albania	7	25+	ANNUAL	FEMALE	PERCENT	0.42	0.42	0.44	0.42	0.4	0.39	0.38	0.38	0.37	0.37	0.37	0.37	0.38	0.37	0.37	0.36	0.35	0.366	2016	0.35	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	8	20.06660928	41.13897007	ALB	Albania	8	15-24	ANNUAL	FEMALE	PERCENT	2.33	2.24	2.46	2.43	2.24	2.07	1.87	1.8	1.54	1.46	1.58	1.54	1.5	1.38	1.27	1.28	1.28	1.342	2016	1.28	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	8	20.06660928	41.13897007	ALB	Albania	9	15+	ANNUAL	FEMALE	PERCENT	0.81	0.84	0.86	0.83	0.76	0.71	0.64	0.61	0.53	0.51	0.54	0.53	0.52	0.5	0.47	0.47	0.46	0.484	2016	0.46	ILO estimates, November 2016, available in ILOSTAT (www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	ANNUAL	BOTHSEX	PERCENT																						
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	25+	ANNUAL	BOTHSEX	PERCENT																						
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	15-24	ANNUAL	BOTHSEX	PERCENT																						
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	4	25+	ANNUAL	MALE	PERCENT																						
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	5	15+	ANNUAL	MALE	PERCENT																						
2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	6	15-24	ANNUAL	MALE	PERCENT																						
