series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Location	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	URBAN	PERCENT																		28.9				27.6					27.6	2011	27.6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	ALLAREA	PERCENT																		36.3				35.8					35.8	2011	35.8		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	ANNUAL	RURAL	PERCENT																		38.2				38.3					38.3	2011	38.3		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	URBAN	PERCENT													19.5			11.2			10.1				13.6				13.6	2012	13.6		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	ALLAREA	PERCENT													25.4			18.5			12.4				14.3				14.3	2012	14.3		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	8	20.06660928	41.13897007	ALB	Albania	3	ANNUAL	RURAL	PERCENT													29.6			24.2			14.6				15.3				15.3	2012	15.3		CA
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	URBAN	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	ALLAREA	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	ANNUAL	RURAL	PERCENT																															
2017.Q2.G.01	SI_POV_NAHC	Proportion of population living below the national poverty line, total and by rural/urban (%)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	URBAN	PERCENT																						5.8					5.8	2011	5.8		CA
