series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2005	2010	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT	100	100	2010	100	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT	69	89	2010	89	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT		0	2010	0	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT						
