series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CU_USD	0.675675	1.025175	0.371179	2.751977	15.435778	28.978948	45.31568	79.411585	318.4624	115.614675	99.988106	87.777183	58.834108	21.848525	76.8125194	2015	21.848525		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CU_USD	3.197534	6.963356	9.026748	3.73977	4.96664	4.324971	2.35797	3.496656	4.723277	21.108546	7.739883	16.638523	9.977245	3.833542	11.8595478	2015	3.833542		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CU_USD	0.978792	7.307012	0.142572	6.952888	2.287543	0.412375	0.345082	13.882838	3.836248	5.26058	56.678049	35.467131	11.674386	13.945523	24.6051338	2015	13.945523		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CU_USD	2.776441	0.716634	0.316662	2.474905	3.72436	3.624764	2.812516	4.471953	8.747286	14.145123	19.196744	17.816892	3.853973	6.413123	12.285171	2015	6.413123		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CU_USD						0.11554	0.188707	0.239896	0.166776	0.417503	0.001764	0.130025	0.168735	0.175714	0.1787482	2015	0.175714		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CU_USD	2.986612	45.544641	0.014505	0.139642	3.268471	0.198154	0.286481	269.188749	0.108671	0.913347	1.429762	0.762453	0.175843	15.013866	3.6590542	2015	15.013866		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CU_USD	2.418532	1.781046	2.243798	1.887198	3.658259	2.044965	2.458533	7.03258	6.347757	3.615827	1.670681	2.441581	1.996388	3.210899	2.5870752	2015	3.210899		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CU_USD		0.015696														2003	0.015696		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CU_USD	5.200361	63.852553	24.839719	42.205842	78.548778	4.380329	64.187002	37.65431	34.443564	48.131724	64.95885	87.212418	185.115786	41.073152	85.298386	2015	41.073152		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CU_USD	2.636928	0.560739	1.658726	3.133059	0.016052	0.46664	30.633037	0.030044	0.377058	6.347151	6.033071	2.174919	59.099745	1.945679	15.120113	2015	1.945679		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CU_USD					0.040605	0.081934	0.155891	0.034925	0.108949							2010	0.108949		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	CU_USD	5.046375	14.045349	9.249353	7.05273	0.025151	3.952164	4.107956	12.25785	7.166031	5.057785	1.496467	7.624412	1.312452	0.08102	3.1144272	2015	0.08102		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	CU_USD	10.226408	39.771243	21.669577	46.511888	22.68349	71.092475	55.542217	49.6623	66.488782	42.760841	45.383566	95.785261	74.757282	48.179376	61.3732652	2015	48.179376		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	CU_USD	0.791499	0.347579	4.173413	0.573538	1.595628	0.817452	3.36658	4.112234	11.775356	1.078418	2.549791	1.091999	1.393128	0.607076	1.3440824	2015	0.607076		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	CU_USD	3.940618	0.119368			0.178614	1.474936	0.202833	0.173681	0.20302	0.968903	0.871374	1.11523	2.288919	2.624304	1.573746	2015	2.624304		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CU_USD	36.680044	40.708021	225.766553	38.189615	23.253552	27.56141	38.253546	138.69829	431.074556	552.689239	239.764524	165.504847	159.273946	226.56027	268.7585652	2015	226.56027		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CU_USD	0.164275	0.316416	0.192221	0.29834	0.128777	0.133762	0.174825	0.138369	0.081192	0.903988	0.191598	0.061416	0.40092	0.361896	0.3839636	2015	0.361896		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CU_USD	0.20174	0.020651	0.007995	1.302162	8.444446	0.843761	6.375434	4.642435	11.547041	5.79645	8.155253	9.764557	12.406482	3.078277	7.8402038	2015	3.078277		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CU_USD	0.174623	2.038223	0.348443	0.931704	5.889219	1.039	1.457999	1.987077	11.018291	12.815307	8.725827	49.821314	36.224573	74.493942	36.4161926	2015	74.493942		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CU_USD	16.451249	0.60039			1.207839	0.035436	4.930337	7.583877	4.609151	15.756735	8.124978	47.587434	3.674351	12.669773	17.5626542	2015	12.669773		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CU_USD				0.001156			9.530975	0.915032	0.52997	5.73949	13.773689	0.360889	0.500079	0.324704	4.1397702	2015	0.324704		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CU_USD	13.196866	13.099004	1.220188	2.021071	38.202073	2.713842	11.430894	9.940814	46.970278	19.086206	51.93331	25.644568	56.20005	40.935048	38.7598364	2015	40.935048		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	CU_USD	5.257574	0.110818	25.353662	7.512088	12.226532	9.804368	13.450764	10.103001	12.900263	94.751101	142.973938	7.54949	9.097541	44.65671	59.805756	2015	44.65671		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	CU_USD	3.770186	11.720183	3.680435	21.462514	2.969171	1.935269	7.262714	7.841256	5.749037	6.572142	0.865265	0.782454	0.587752	29.688332	7.699189	2015	29.688332		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	CU_USD	0.08402		22.353062	9.429541	6.313826	16.614439	14.934515	20.933215	0.078609	1.382058	4.67375	1.109558	0.380687	5.905423	2.6902952	2015	5.905423		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	CU_USD	5.547231	17.454836	14.664316	15.126237	18.655601	12.352049	1.316335	1.00326	119.314145	2.59827	5.820184	4.982501	9.316678	33.159055	11.1753376	2015	33.159055		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	CU_USD	0.001359			38.016277	10.556366	0.041849	0.061087	14.36889	18.459584	7.048411	4.353387	10.405313	1.241333	7.54327	6.1183428	2015	7.54327		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	CU_USD	7.326902	3.660703	0.450921	1.200422	0.711312	1.748406	1.161589	8.890317	1.533208	1.941651	2.308398	0.842641	4.296624	0.993336	2.07653	2015	0.993336		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	CU_USD	471.375755	449.71639	274.041085	536.301177	427.510259	741.836905	65.813983	31.071866	214.179712	31.865276	53.520535	129.246521	48.683162	165.016618	85.6664224	2015	165.016618		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	CU_USD	5.143819	2.322552	26.597022	11.980417	20.914807	53.109785	12.816899	19.321722	34.614507	12.829488	113.535681	64.186232	100.263679	497.693565	157.701729	2015	497.693565		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	CU_USD					0.291005			0.014678	0.987136	0.131903		3.449528	3.349	0.007487	1.7344795	2015	0.007487		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	CU_USD							2.402405	0.644255	1.036211							2010	1.036211		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	CU_USD	0.699726	0.360173	1.171121	3.064158	4.949465	1.266189	9.287359	4.414889	3.057466	8.247116	11.100646	0.758604	0.831282	70.38534	18.2645976	2015	70.38534		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	CU_USD	1.3646	6.917725	3.689793	11.450625	13.61451	14.597033	68.083537	26.249708	28.754291	74.209966	70.38869	97.272343	67.181947	255.293073	112.8692038	2015	255.293073		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	CU_USD	0.157957	0.554208	0.648289	3.474685	4.413043	0.005816	1.17205	0.007487	2.720049	1.050748	0.275223	1.840767	0.966621	0.174848	0.8616414	2015	0.174848		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	CU_USD	11.229563	3.518635	5.095903	1.814877	133.944692	1.832947	2.933011	2.798058	24.99821	2.871374	2.577902	3.726755	8.494613	2.311477	3.9964242	2015	2.311477		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	CU_USD	0.38805	0.971848		0.640245	1.15617	0.973068	1.108326	0.819993	2.44689							2010	2.44689		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	CU_USD	2.408076	1.360456	7.288275	2.041209	1.691221	1.824766	2.28591	12.730689	3.313835	10.065378	10.142689	4.275769	1.898333	2.528539	5.7821416	2015	2.528539		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	CU_USD	15.989178	5.196647	23.756042	35.407977	14.686435	4.73189	17.317865	7.545448	3.339966	32.635688	29.732027	23.150011	48.894106	69.967347	40.8758358	2015	69.967347		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	CU_USD				5.715114			0.02842		0.026769	0.383621	0.023519	0.026717	0.019201	0.01237	0.0930856	2015	0.01237		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	CU_USD	2.182169	4.473243	13.066041	8.30743	2.848718	9.627545	5.388217	45.104773	12.358533	8.076994	8.888167	3.403363	8.456292	53.562272	16.4774176	2015	53.562272		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	CU_USD	22.562255	61.239412	32.538315	6.858072	15.511742	21.81373	16.435453	39.259764	49.20698	26.303488	15.032794	32.535216	56.604685	109.596091	48.0144548	2015	109.596091		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	CU_USD	4.115967	8.194507	1.109808	4.273667	1.843777	7.354937	12.197015	7.323046	7.036447	7.868086	4.823444	7.78422	13.06871	7.002936	8.1094792	2015	7.002936		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	CU_USD	0.954212	0.050951		0.025985		0.028252	0.015118	0.888907	0.133148	1.03898	0.124286	0.087891	0.067015	0.312497	0.3261338	2015	0.312497		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	CU_USD	17.885794	10.872889	36.979094	8.941034	10.38661	25.236844	25.028487	71.074446	197.291742	58.353166	93.529676	185.825976	132.707221	305.176535	155.1185148	2015	305.176535		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	CU_USD	6.043505	0.00263			1.739627	0.525722	0.585587	0.528382	1.782726	0.232644	0.273415		0.011404	0.055225	0.143172	2015	0.055225		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	CU_USD	0.078257	1.799987	0.79641	0.443088	1.860068	0.286114	1.243596	2.515274	0.496776	1.07089	2.384561	2.26036	1.371248	2.530206	1.923453	2015	2.530206		
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	CU_USD																			
