series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_ODA_LLDC	Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_ODA_LLDC	Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_ODA_LLDC	Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_ODA_LLDC	Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_ODA_LLDC	Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_ODA_LLDC	Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_ODA_LLDC	Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_ODA_LLDC	Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_ODA_LLDC	Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_ODA_LLDC	Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CON_USD																					
