series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_INFRAL	Total official flows for infrastructure, by recipient	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CON_USD	0.345367	0.376259	23.941972	117.554055	459.547652	800.301935	764.500358	841.807907	949.882612	1264.566733	1212.466971	1152.861621	1004.023621	847.918823	531.33359	521.478188	811.5231686	2015	521.478188		
2017.Q2.G.01	DC_TOF_INFRAL	Total official flows for infrastructure, by recipient	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CON_USD	76.236644	11.748154	68.011451	45.658579	54.063133	55.098846	81.288749	64.267837	65.31819	123.345805	188.730878	201.882104	149.514841	137.505057	230.93872	102.617556	164.4916556	2015	102.617556		
2017.Q2.G.01	DC_TOF_INFRAL	Total official flows for infrastructure, by recipient	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TOF_INFRAL	Total official flows for infrastructure, by recipient	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CON_USD	110.713178	83.376292	120.51272	126.02496	40.117218	76.219315	113.864448	83.71649	84.702345	77.53482	24.97772	20.242136	12.677331	17.492482	10.242932	40.725895	20.2761552	2015	40.725895		
2017.Q2.G.01	DC_TOF_INFRAL	Total official flows for infrastructure, by recipient	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TOF_INFRAL	Total official flows for infrastructure, by recipient	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_TOF_INFRAL	Total official flows for infrastructure, by recipient	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CON_USD	23.440829	16.031209	19.817403	11.735333	8.668609	12.060532	8.49464	8.523303	6.686444	16.168297	26.480444	6.851046	15.470717	13.604991	566.469327	197.140032	159.9072226	2015	197.140032		
2017.Q2.G.01	DC_TOF_INFRAL	Total official flows for infrastructure, by recipient	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CON_USD				0.016789	0.059991	0.135607	0.016113	0.027856	0.012006	0.734629	0.068797	1.148247	0.232039	0.026163	0.117533	0.044578	0.313712	2015	0.044578		
2017.Q2.G.01	DC_TOF_INFRAL	Total official flows for infrastructure, by recipient	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CON_USD	23.400018	80.221437	21.081379	28.318109	33.939127	36.105985	37.207932	73.203436	105.046085	251.400887	201.407162	355.668788	486.27315	349.681503	454.427029	321.245024	393.4590988	2015	321.245024		
2017.Q2.G.01	DC_TOF_INFRAL	Total official flows for infrastructure, by recipient	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CON_USD	169.583354	851.323705	217.177949	169.597689	212.547759	202.774163	172.447803	78.152534	133.773318	572.769355	880.685024	653.479466	500.742001	566.721955	461.827766	437.708398	524.0959172	2015	437.708398		
