series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CON_USD	0.343717	0.421801	1.020507	2.757691	3.857374	4.52424	7.804416	15.144671	7.553122	6.892986	8.383887	2015	6.892986		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CON_USD	1.054105	0.949259	1.523072	2.015996	1.862419	2.299406	2.032788	3.074702	2.627494	3.692774	2.7454328	2015	3.692774		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CON_USD	1.805349	1.763892	4.896663	6.789136	6.926133	1.792909	4.967802	17.863361	17.640362	14.608773	11.3746414	2015	14.608773		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CON_USD	1.08145	0.990829	1.404523	1.514689	1.383407	1.060329	1.498296	1.793164	1.798006	1.848042	1.5995674	2015	1.848042		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CON_USD	0.012716	0.024588	0.033	0.077625	0.017784	0.043325	0.043465	0.081161	0.104827	0.080433	0.0706422	2015	0.080433		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CON_USD	0.120037	0.186736	0.711125	1.242799	1.489421	1.694959	1.328925	2.271301	1.751476	1.83	1.7753322	2015	1.83		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CON_USD	0.231782	1.239806	4.228393	6.283007	6.098462	3.816391	6.84143	6.803953	4.938675	3.742553	5.2286004	2015	3.742553		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CON_USD															
