series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Location	Units	2012	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	ALLAREA	mgr/m^3	46.0451502632342	2012	46.0451502632342	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	URBAN	mgr/m^3	63.4057141122223	2012	63.4057141122223	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	ALLAREA	mgr/m^3	15.9270894603884	2012	15.9270894603884	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	URBAN	mgr/m^3	17.0763629278075	2012	17.0763629278075	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	ALLAREA	mgr/m^3					
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	URBAN	mgr/m^3					
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	ALLAREA	mgr/m^3	26.5435795747094	2012	26.5435795747094	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	12	2.678164227	28.15940032	DZA	Algeria	2	ANNUAL	URBAN	mgr/m^3	25.1337169695005	2012	25.1337169695005	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	ALLAREA	mgr/m^3					
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ANNUAL	URBAN	mgr/m^3					
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	ALLAREA	mgr/m^3	10.3732813401948	2012	10.3732813401948	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	20	1.576257417	42.54548611	AND	Andorra	2	ANNUAL	URBAN	mgr/m^3	10.5357236321548	2012	10.5357236321548	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	ALLAREA	mgr/m^3	27.3507810301133	2012	27.3507810301133	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	24	17.57817062	-12.33724746	AGO	Angola	2	ANNUAL	URBAN	mgr/m^3	42.3815976978433	2012	42.3815976978433	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	ALLAREA	mgr/m^3	12.9915930925817	2012	12.9915930925817	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	ANNUAL	URBAN	mgr/m^3	12.9999989158205	2012	12.9999989158205	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	ALLAREA	mgr/m^3	23.7691926558027	2012	23.7691926558027	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	ANNUAL	URBAN	mgr/m^3	26.3322777132609	2012	26.3322777132609	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	ALLAREA	mgr/m^3	13.0394496935376	2012	13.0394496935376	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	32	-65.14563274	-35.19446255	ARG	Argentina	2	ANNUAL	URBAN	mgr/m^3	14.398438870126	2012	14.398438870126	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	ALLAREA	mgr/m^3	5.72366170194407	2012	5.72366170194407	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	36	134.3499412	-25.57717202	AUS	Australia	2	ANNUAL	URBAN	mgr/m^3	5.79477010670615	2012	5.79477010670615	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	ALLAREA	mgr/m^3	16.0061238900993	2012	16.0061238900993	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	40	14.14172472	47.58704857	AUT	Austria	2	ANNUAL	URBAN	mgr/m^3	17.0837802925857	2012	17.0837802925857	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	ALLAREA	mgr/m^3	12.6500082420669	2012	12.6500082420669	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	44	-78.05111663	24.69546597	BHS	Bahamas	2	ANNUAL	URBAN	mgr/m^3	12.5788707618588	2012	12.5788707618588	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	ALLAREA	mgr/m^3	60.0056718926383	2012	60.0056718926383	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	48	50.5490754	26.04407747	BHR	Bahrain	2	ANNUAL	URBAN	mgr/m^3	60.0897597893089	2012	60.0897597893089	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	ALLAREA	mgr/m^3	83.5259095751159	2012	83.5259095751159	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	50	89.17660788	22.86961622	BGD	Bangladesh	2	ANNUAL	URBAN	mgr/m^3	88.7626186928239	2012	88.7626186928239	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	ALLAREA	mgr/m^3	20.7325152287824	2012	20.7325152287824	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	51	44.93839317	40.29499741	ARM	Armenia	2	ANNUAL	URBAN	mgr/m^3	24.9520297575859	2012	24.9520297575859	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	ALLAREA	mgr/m^3	14.0000009551801	2012	14.0000009551801	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
2017.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted)	52	-59.5346489	13.13648273	BRB	Barbados	2	ANNUAL	URBAN	mgr/m^3	14.0000009551801	2012	14.0000009551801	Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
