geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	1995	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	66.02688198	33.83160199	2	AFG	Afghanistan	62.7	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
8	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	1995	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
8	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	20.06660928	41.13897007	6	ALB	Albania					
10	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	21.47585697	-80.40897662	13	ATA	Antarctica					
10	1995	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	21.47585697	-80.40897662	13	ATA	Antarctica					
12	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	2.678164227	28.15940032	66	DZA	Algeria					
12	1995	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	2.678164227	28.15940032	66	DZA	Algeria					
12	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	2.678164227	28.15940032	66	DZA	Algeria					
12	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	2.678164227	28.15940032	66	DZA	Algeria					
12	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	2.678164227	28.15940032	66	DZA	Algeria					
12	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	2.678164227	28.15940032	66	DZA	Algeria					
12	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	2.678164227	28.15940032	66	DZA	Algeria					
16	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	1995	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	1.576257417	42.54548611	7	AND	Andorra					
20	1995	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	1.576257417	42.54548611	7	AND	Andorra					
20	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	1.576257417	42.54548611	7	AND	Andorra					
20	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	1.576257417	42.54548611	7	AND	Andorra					
20	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	1.576257417	42.54548611	7	AND	Andorra					
20	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	1.576257417	42.54548611	7	AND	Andorra					
20	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	1.576257417	42.54548611	7	AND	Andorra					
24	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	17.57817062	-12.33724746	3	AGO	Angola					
24	1995	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	17.57817062	-12.33724746	3	AGO	Angola					
24	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	17.57817062	-12.33724746	3	AGO	Angola	86.5	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
24	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	17.57817062	-12.33724746	3	AGO	Angola	86.5	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
24	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	17.57817062	-12.33724746	3	AGO	Angola	76.1666666667	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
24	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	17.57817062	-12.33724746	3	AGO	Angola	65.8333333333	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
24	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	17.57817062	-12.33724746	3	AGO	Angola	55.5	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
28	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	1995	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
31	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	50.01064725	40.39229544	19	AZE	Azerbaijan					
31	1995	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	50.01064725	40.39229544	19	AZE	Azerbaijan					
31	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	50.01064725	40.39229544	19	AZE	Azerbaijan					
31	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	50.01064725	40.39229544	19	AZE	Azerbaijan					
31	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	50.01064725	40.39229544	19	AZE	Azerbaijan					
31	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	50.01064725	40.39229544	19	AZE	Azerbaijan					
31	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	50.01064725	40.39229544	19	AZE	Azerbaijan					
32	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-65.14563274	-35.19446255	10	ARG	Argentina	30.5	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
32	1995	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-65.14563274	-35.19446255	10	ARG	Argentina	31.7	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
32	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-65.14563274	-35.19446255	10	ARG	Argentina	32.9	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
32	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-65.14563274	-35.19446255	10	ARG	Argentina	26.2	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
32	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-65.14563274	-35.19446255	10	ARG	Argentina	23.5	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
32	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-65.14563274	-35.19446255	10	ARG	Argentina	20.8333333333	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
32	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	-65.14563274	-35.19446255	10	ARG	Argentina	16.7	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
36	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	134.3499412	-25.57717202	17	AUS	Australia					
36	1995	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	134.3499412	-25.57717202	17	AUS	Australia					
36	2000	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	134.3499412	-25.57717202	17	AUS	Australia					
36	2005	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	134.3499412	-25.57717202	17	AUS	Australia					
36	2007	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	134.3499412	-25.57717202	17	AUS	Australia					
36	2009	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	134.3499412	-25.57717202	17	AUS	Australia					
36	2014	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	134.3499412	-25.57717202	17	AUS	Australia					
40	1990	ANNUAL	PERCENT	1	2017.Q2.G.01	EN_LND_SLUM	Proportion of urban population living in slums	14.14172472	47.58704857	18	AUT	Austria					
