series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1995	2000	2005	2010	2012	2014	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	NUMBER				757	811	944	954	903	2016	954	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	NUMBER		716	2624	3105	3439	3740	4252	3810.33333333333	2016	4252	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	NUMBER	6075	6649	9133	11392	11827	11839	12712	12126	2016	12712	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	NUMBER	147499	170542	202067	211278	215768	217995	221780	218514.333333333	2016	221780	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	NUMBER	5874	7116	9982	11557	11669	11722	11964	11785	2016	11964	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	NUMBER	14791	17836	20393	23089	26282	30251	31476	29336.3333333333	2016	31476	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	NUMBER	2158	2546	4688	6544	6702	6711	6789	6734	2016	6789	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	NUMBER	8556	8966	9239	9306	9306	9306	9306	9306	2016	9306	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	E
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	NUMBER		29	433	777	798	965	1151	971.333333333333	2016	1151	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	NUMBER	10666	10917	11280	11418	11505	11506	11506	11505.6666666667	2016	11506	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	NUMBER	62	62	64	211	434	434	434	434	2016	434	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	E
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	NUMBER	51822	52807	53723	54621	54666	54708	54868	54747.3333333333	2016	54868	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	NUMBER	62131	62131	62131	63703	63703	63949	64837	64163	2016	64837	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	NUMBER				14	203	203	203	203	2016	203	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	E
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	NUMBER	102075	106510	108299	109244	110363	110363	110363	110363	2016	110363	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	NUMBER	5593	6435	7375	8469	8589	8808	8808	8735	2016	8808	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	NUMBER	11594	13509	15569	15846	27145	33488	36563	32398.6666666667	2016	36563	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	NUMBER	10416	10655	10911	11245	11278	11432	11588	11432.6666666667	2016	11588	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	NUMBER	2279	2290	2404	3040	3073	3233	3423	3243	2016	3423	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	NUMBER	11537	13217	14957	16653	17949	18424	19022	18465	2016	19022	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	NUMBER	446	446	469	504	647	647	1004	766	2016	1004	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	NUMBER	38820	44479	47781	51049	52195	52947	54985	53375.6666666667	2016	54985	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	NUMBER	431	431	431	431	431	431	1474	778.666666666667	2016	1474	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	NUMBER	20253	22248	23617	25613	27140	27771	27778	27563	2016	27778	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	NUMBER												
