series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Units	2011	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	ANNUAL	PERCENT	14.44103	12.2038	13.322415	2014	12.2038		
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	8	20.06660928	41.13897007	ALB	Albania	1	15+	ANNUAL	PERCENT	34.43921	48.42409	41.43165	2014	48.42409		
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	ANNUAL	PERCENT							
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	12	2.678164227	28.15940032	DZA	Algeria	1	15+	ANNUAL	PERCENT	41.83582	60.85389	51.344855	2014	60.85389		
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	ANNUAL	PERCENT							
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	20	1.576257417	42.54548611	AND	Andorra	1	15+	ANNUAL	PERCENT							
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	24	17.57817062	-12.33724746	AGO	Angola	1	15+	ANNUAL	PERCENT	45.2093	40.45555	42.832425	2014	40.45555		
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	ANNUAL	PERCENT							
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	ANNUAL	PERCENT	18.51295	30.71308	24.613015	2014	30.71308		
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	ANNUAL	PERCENT	42.39023	54.10321	48.24672	2014	54.10321		
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	36	134.3499412	-25.57717202	AUS	Australia	1	15+	ANNUAL	PERCENT	99.72894	99.15916	99.44405	2014	99.15916		
2017.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	40	14.14172472	47.58704857	AUT	Austria	1	15+	ANNUAL	PERCENT	97.73059	97.43961	97.5851	2014	97.43961		
