series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2005	2006	2007	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT									46.840033			46.840033	2014	46.840033		E
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT								19.53957				19.53957	2013	19.53957		E
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT			18.790497										2007	18.790497		E
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT																
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT					51.299031								2010	51.299031		E
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT					6.877959								2010	6.877959		E
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT								15.878391				15.878391	2013	15.878391		E
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT					10.267388								2010	10.267388		E
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT																
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT																
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT					20.999498								2010	20.999498		E
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT																
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT								47.702273				47.702273	2013	47.702273		E
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT								7.067282				7.067282	2013	7.067282		E
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT					1.200921								2010	1.200921		E
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PERCENT																
2017.Q2.G.01	IC_FRM_BRIB	Proportion of firms experiencing at least one bribe payment request	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT																
