series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	5066	2015	5066		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	9329	2015	9329		E
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	256623	2015	256623		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	68479	2015	68479		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	2667	2015	2667		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	45708	2015	45708		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	748354	2015	748354		M
