series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	NUMBER	1929907.728	2015	1929907.728	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	NUMBER	5910835.509682	2015	5910835.509682	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	NUMBER	1244491	2015	1244491	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	NUMBER	1039809.96	2015	1039809.96	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	NUMBER	1803112	2015	1803112	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	NUMBER	14245183.352	2015	14245183.352	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	NUMBER	69294187	2015	69294187	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	NUMBER	14718641.22	2015	14718641.22	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	NUMBER	587516.94	2015	587516.94	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	NUMBER	5313756	2015	5313756	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	NUMBER	2906799.490286	2015	2906799.490286	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	NUMBER	11193023.096	2015	11193023.096	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	NUMBER	162864.24	2015	162864.24	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	NUMBER	2578959.921511	2015	2578959.921511	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	NUMBER	7070.748	2015	7070.748	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	NUMBER	194005.56	2015	194005.56	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	NUMBER	102039359	2015	102039359	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	NUMBER	935603.636	2015	935603.636	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	NUMBER	373738.716	2015	373738.716	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	NUMBER	1150003	2015	1150003	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	NUMBER	1118689.8	2015	1118689.8	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	NUMBER	2029139.652	2015	2029139.652	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	NUMBER	1489035	2015	1489035	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	NUMBER	1103880	2015	1103880	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	NUMBER	267208.848	2015	267208.848	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	NUMBER	80228301.716	2015	80228301.716	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	NUMBER	567182.328	2015	567182.328	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	NUMBER	4911730	2015	4911730	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	NUMBER	15006762	2015	15006762	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	NUMBER	436183969	2015	436183969	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	NUMBER	30742928	2015	30742928	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	NUMBER	657926.892	2015	657926.892	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	NUMBER	476352.998641	2015	476352.998641	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	NUMBER	87125.4	2015	87125.4	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	NUMBER	1617075.73	2015	1617075.73	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	NUMBER	1782666	2015	1782666	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	NUMBER	1294458.245619	2015	1294458.245619	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	NUMBER	23404.512	2015	23404.512	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	NUMBER	4971616.027	2015	4971616.027	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	NUMBER	112392.36	2015	112392.36	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	NUMBER					
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	NUMBER	14463.036	2015	14463.036	International Civil Aviation Organization (ICAO)	
2017.Q2.G.01	IS_TRP_PSSGR	Passenger volume, by air transport	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	NUMBER	5762485.23	2015	5762485.23	International Civil Aviation Organization (ICAO)	
